"year","player_id","total_points","total_won"
1999,103103,10450,5379
1999,103114,575,279
1999,103151,8909,4383
1999,103157,584,256
1999,103163,10663,5381
1999,103166,968,431
1999,103171,410,200
1999,103174,167,77
1999,103176,134,59
1999,103182,4306,2172
1999,103184,926,457
1999,103193,4856,2402
1999,103198,267,125
1999,103206,10189,5140
1999,103240,259,105
1999,103248,258,131
1999,103250,334,168
1999,103252,7165,3572
1999,103264,5971,2894
1999,103285,898,441
1999,103292,3398,1642
1999,103294,454,215
1999,103318,NA,NA
1999,103319,323,143
1999,103344,3678,1843
1999,103387,2599,1327
1999,103420,528,278
1999,103428,390,173
1999,103444,564,275
1999,103451,623,307
1999,103454,NA,NA
1999,103484,679,300
1999,103498,10655,5378
1999,103507,3760,1942
1999,103594,110,46
1999,103598,2863,1403
1999,103602,323,153
1999,103632,109,48
1999,103709,351,168
1999,103714,2051,1053
1999,103720,8899,4700
1999,103735,300,137
1999,103758,272,110
1999,103781,296,135
1999,103789,354,169
1999,103813,NA,NA
1999,103817,73,20
1999,103819,4024,1971
1999,103821,NA,NA
1999,103857,252,104
1999,103894,239,88
1999,103990,583,285
1999,104022,115,49
1999,104339,NA,NA
1999,200003,NA,NA
1999,200008,NA,NA
1999,200009,NA,NA
1999,200011,NA,NA
1999,200033,NA,NA
1999,200043,NA,NA
1999,200056,NA,NA
1999,200060,NA,NA
1999,200067,NA,NA
1999,200069,NA,NA
1999,200079,NA,NA
1999,200104,NA,NA
1999,200108,NA,NA
1999,200120,NA,NA
1999,200748,NA,NA
1999,200754,NA,NA
1999,200772,NA,NA
1999,200773,NA,NA
1999,201212,NA,NA
1999,201281,NA,NA
1999,201284,NA,NA
1999,201290,NA,NA
1999,201292,NA,NA
1999,201293,NA,NA
1999,201309,NA,NA
1999,201328,NA,NA
1999,201352,NA,NA
1999,201419,NA,NA
2000,101736,7666,4049
2000,101885,4815,2382
2000,101889,1772,875
2000,101962,10037,5067
2000,101965,10730,5525
2000,102035,8394,4280
2000,102106,5922,2929
2000,102110,2266,1100
2000,102143,592,298
2000,102148,8978,4472
2000,102179,2882,1374
2000,102227,6229,3047
2000,102231,4100,2112
2000,102233,1192,558
2000,102257,6047,3039
2000,102269,578,266
2000,102271,9358,4684
2000,102286,2344,1161
2000,102287,6866,3400
2000,102300,550,239
2000,102306,585,275
2000,102318,9092,4630
2000,102344,6874,3525
2000,102358,11892,6238
2000,102374,9940,5259
2000,102381,676,322
2000,102401,1141,554
2000,102405,250,114
2000,102434,4432,2056
2000,102450,12180,6418
2000,102456,4189,2076
2000,102494,2812,1380
2000,102497,68,16
2000,102512,162,63
2000,102538,1333,645
2000,102539,4767,2346
2000,102548,4229,1966
2000,102558,875,415
2000,102562,7515,3752
2000,102563,7819,3933
2000,102567,5331,2615
2000,102585,566,272
2000,102610,7874,4004
2000,102615,379,183
2000,102642,2889,1350
2000,102667,124,54
2000,102694,890,408
2000,102703,1601,811
2000,102720,2572,1220
2000,102730,763,374
2000,102770,1619,724
2000,102780,187,88
2000,102783,6874,3448
2000,102785,133,60
2000,102821,2609,1264
2000,102834,6556,3239
2000,102839,10261,5202
2000,102845,8699,4441
2000,102851,152,73
2000,102854,9444,4766
2000,102856,12629,6631
2000,102860,2810,1472
2000,102863,324,158
2000,102869,4721,2305
2000,102880,3401,1681
2000,102882,10559,5459
2000,102887,597,311
2000,102904,478,236
2000,102905,8029,3957
2000,102925,5080,2521
2000,102950,9126,4510
2000,102956,136,60
2000,102965,1677,788
2000,102987,4423,2161
2000,102998,9383,4829
2000,103007,228,105
2000,103009,424,206
2000,103017,7067,3659
2000,103018,7901,3996
2000,103029,124,49
2000,103060,301,156
2000,103066,129,58
2000,103084,2378,1129
2000,103096,9525,4823
2000,103103,10672,5488
2000,103114,907,425
2000,103151,6782,3342
2000,103157,1778,875
2000,103163,7444,3747
2000,103166,3137,1594
2000,103171,2757,1378
2000,103174,280,141
2000,103176,1173,588
2000,103181,4024,1981
2000,103182,3433,1679
2000,103184,1706,829
2000,103185,505,241
2000,103188,1245,588
2000,103193,1818,915
2000,103198,452,219
2000,103201,443,230
2000,103204,305,140
2000,103206,10775,5622
2000,103240,1036,495
2000,103248,4456,2191
2000,103250,376,177
2000,103252,6812,3342
2000,103264,7881,4074
2000,103280,203,98
2000,103292,7585,3790
2000,103294,5828,2780
2000,103305,1313,634
2000,103319,95,35
2000,103333,NA,NA
2000,103344,6400,3170
2000,103356,2953,1481
2000,103373,360,174
2000,103385,210,97
2000,103387,3799,1791
2000,103401,99,38
2000,103420,1147,542
2000,103428,4582,2249
2000,103444,1156,536
2000,103451,574,249
2000,103454,5880,2923
