"player_id","year","double_fault","service_points"
103063,"2006",0,67
103063,"2007",3,185
103063,"2004",45,689
103063,"2008",1,78
103076,"2008",3,88
103084,"2000",55,911
103084,"1997",14,320
103084,"2002",76,1980
103084,"2007",55,1623
103084,"2003",33,560
103084,"1996",18,222
103084,"1999",NA,NA
103084,"2004",121,2825
103084,"2001",175,5500
103084,"2005",34,897
103084,"2009",58,1526
103084,"1998",50,1175
103084,"2008",NA,NA
103096,"1999",147,3984
103096,"2011",11,457
103096,"2008",52,1510
103096,"2007",77,2099
103096,"2005",56,1719
103096,"1997",23,690
103096,"2002",NA,NA
103096,"2012",19,525
103096,"2003",69,2436
103096,"2010",48,1830
103096,"2001",NA,NA
103096,"2006",40,1902
103096,"2009",82,2677
103096,"1998",121,2871
103096,"2004",NA,NA
103096,"2000",NA,NA
103104,"2003",7,89
103104,"1996",2,62
103104,"2006",7,183
103104,"2002",8,136
103104,"2009",2,65
103104,"2007",10,114
103104,"2008",12,238
103104,"2004",NA,NA
103105,"2008",32,504
103105,"2013",29,507
103105,"2003",50,1163
103105,"2009",72,1139
103105,"2014",11,192
103105,"2004",70,1502
103105,"2011",88,1745
103105,"2005",16,576
103105,"2007",NA,NA
103105,"2001",4,130
103105,"2006",56,1905
103105,"2002",9,223
103105,"2010",16,387
103105,"2012",82,1271
103110,"2005",NA,NA
103110,"2010",NA,NA
103110,"2006",92,1938
103110,"2007",8,369
103110,"1998",18,444
103110,"1995",1,58
103110,"2011",NA,NA
103110,"2004",11,320
103114,"2006",12,263
103114,"1997",10,498
103114,"2000",15,442
103114,"1999",6,287
103114,"1998",7,363
103114,"1996",7,96
103114,"2003",4,108
103114,"2001",20,809
103114,"2002",12,308
103133,"1998",6,165
103133,"2001",6,158
103133,"1996",6,82
103133,"2003",117,2733
103133,"2005",6,281
103133,"2002",0,44
103133,"1995",14,271
103133,"2004",45,1582
103133,"1997",0,61
103151,"1995",4,285
103151,"2005",150,2584
103151,"1996",40,1116
103151,"1999",95,2217
103151,"1998",98,1915
103151,"2002",49,1786
103151,"2001",71,1539
103151,"2007",NA,NA
103151,"2003",NA,NA
103151,"2004",68,1807
103151,"2006",43,1026
103151,"2008",13,182
103151,"1997",23,474
103151,"2000",NA,NA
103153,"2001",26,468
103153,"2006",NA,NA
103153,"2003",21,476
103153,"2005",24,445
103153,"2002",6,163
103153,"2004",NA,NA
103157,"2000",8,337
103157,"2002",NA,NA
103157,"1999",11,279
103157,"2004",2,90
103157,"2006",NA,NA
103157,"2003",9,425
103157,"2001",13,546
103163,"1998",118,2012
103163,"1997",147,3109
103163,"2006",NA,NA
103163,"2013",137,3598
103163,"2010",32,715
103163,"2001",NA,NA
103163,"2002",NA,NA
103163,"2004",NA,NA
103163,"2008",52,1394
103163,"1996",27,512
103163,"2005",NA,NA
103163,"2015",52,933
103163,"2000",NA,NA
103163,"2009",149,2684
103163,"2014",50,1689
103163,"1999",NA,NA
103163,"2017",82,1710
103163,"2011",81,1641
103163,"2012",79,2096
103163,"2007",NA,NA
103165,"2005",1,72
103165,"2012",1,53
103165,"2006",1,233
103165,"2007",NA,NA
103165,"2002",4,175
103169,"2003",10,734
103169,"2007",NA,NA
103169,"2008",98,3027
103169,"2005",67,1573
103169,"2009",115,3085
103169,"2004",63,1971
103169,"2006",17,650
103169,"2010",34,1159
103171,"2000",59,1392
103171,"2008",0,59
103171,"2009",9,334
103171,"1998",20,336
103171,"2004",53,1416
103171,"1996",9,66
103171,"2001",NA,NA
103171,"2002",NA,NA
103171,"2006",29,586
103171,"1999",8,192
103171,"2003",NA,NA
103171,"2005",19,381
103171,"2007",NA,NA
103175,"2006",NA,NA
103175,"2007",8,156
103175,"2005",9,172
103176,"2004",50,2060
103176,"2002",50,1873
103176,"2000",16,627
103176,"1997",2,57
103176,"1999",5,73
103176,"1998",10,136
103176,"2005",47,1856
103176,"2001",93,2471
103176,"2003",68,1717
103181,"2007",54,1523
103181,"2003",35,1087
103181,"2008",19,632
103181,"2004",33,902
103181,"2001",81,2876
103181,"2005",84,2036
103181,"2006",87,2060
103181,"2000",NA,NA
103181,"1995",4,162
103181,"2002",11,386
103181,"2009",13,155
103182,"1997",5,191
103182,"1999",38,1231
103182,"2002",NA,NA
103182,"2001",63,1507
103182,"1995",6,55
103182,"2000",NA,NA
103182,"2003",17,615
103182,"2005",4,84
103182,"1998",4,175
103182,"1996",3,55
103182,"1994",6,68
103184,"2002",9,309
103184,"2004",1,74
103184,"2003",17,577
103184,"1999",11,481
103184,"2009",NA,NA
103184,"2008",NA,NA
103184,"2000",20,844
103184,"2006",2,66
103184,"2007",NA,NA
103184,"1997",3,48
103184,"1998",14,562
103184,"2005",NA,NA
103184,"2001",16,377
103185,"2002",11,177
103185,"2003",5,206
103185,"2007",0,55
103185,"2008",NA,NA
103185,"1997",4,88
103185,"2001",13,251
103185,"2000",6,254
103188,"2000",41,644
103188,"2003",9,158
103188,"2011",127,2233
103188,"2012",84,1733
103188,"2002",44,1421
103188,"2010",116,2568
103188,"2014",57,1412
103188,"2001",81,2121
103188,"1998",8,196
103188,"2015",7,153
103188,"2007",77,2138
103188,"2009",16,510
103188,"2013",57,1726
103188,"2006",8,182
103188,"2008",20,517
103193,"2003",4,57
103193,"2004",6,139
103193,"1998",6,269
103193,"2001",79,1701
103193,"1997",4,156
103193,"2000",11,435
103193,"1996",9,180
103193,"2007",16,444
103193,"1999",123,2397
103193,"2005",NA,NA
103193,"2006",3,56
103201,"2001",8,67
103201,"2007",19,309
103201,"2000",1,102
103201,"2005",NA,NA
103201,"2008",2,121
103201,"2004",26,685
103201,"2006",NA,NA
103201,"2003",2,52
103204,"2008",6,157
103204,"2001",32,696
103204,"2003",10,369
103204,"2004",17,530
103204,"2005",11,457
103204,"2007",12,293
103204,"2002",5,156
103204,"2006",8,281
103204,"2000",5,154
103206,"2003",NA,NA
103206,"2010",8,402
103206,"1998",48,2830
103206,"2001",NA,NA
103206,"1999",NA,NA
103206,"2007",42,1589
103206,"2009",17,465
103206,"2006",36,1899
103206,"2002",NA,NA
103206,"2000",NA,NA
103206,"2008",31,1663
103206,"2004",NA,NA
103206,"1997",12,455
103206,"2005",48,2630
103209,"2006",2,224
103228,"2006",34,1495
103228,"2009",NA,NA
103228,"2004",NA,NA
103228,"2005",8,189
103228,"2011",3,136
103228,"2003",12,404
103228,"2008",30,1169
103228,"2002",1,75
103228,"2007",4,83
103228,"2010",25,829
103230,"2005",6,104
103230,"2003",4,110
103230,"2004",1,42
103238,"2003",3,178
103238,"2004",3,123
103238,"2008",3,130
103238,"2007",6,98
103240,"2000",20,481
103240,"2007",50,1155
103240,"2005",131,3560
103240,"2002",7,301
103240,"1999",5,134
103240,"2003",1,68
103240,"2008",15,266
103240,"2001",15,243
103240,"2004",7,295
103240,"1996",2,78
103240,"2010",17,237
103240,"2009",106,1727
103240,"2006",90,1860
103248,"2002",35,824
103248,"1999",NA,NA
103248,"2007",2,104
103248,"2009",NA,NA
103248,"2010",0,35
103248,"2003",NA,NA
103248,"2004",7,390
103248,"2000",42,1285
103248,"1998",NA,NA
103248,"2006",5,151
103248,"2005",NA,NA
103248,"2008",NA,NA
103248,"2001",46,1910
103250,"2007",1,61
103250,"1999",6,155
103250,"2000",6,180
103250,"2003",7,188
103250,"2002",9,83
103252,"1998",30,531
103252,"2001",284,4603
103252,"2007",49,1148
103252,"1999",67,1630
103252,"2004",194,3870
103252,"2009",74,1936
103252,"2010",20,618
103252,"2000",NA,NA
103252,"2008",18,511
103252,"2005",178,3916
103252,"2003",61,1337
103252,"2006",118,2832
103252,"1996",17,313
103252,"1997",35,675
103252,"2002",75,1774
103254,"2004",6,60
103254,"2005",6,74
103254,"2002",30,323
103254,"2003",15,136
103254,"2008",NA,NA
103254,"2007",7,183
103254,"2001",4,78
103264,"1998",63,2558
103264,"2001",39,909
103264,"2003",53,1218
103264,"2000",41,1491
103264,"1999",NA,NA
103264,"1997",3,160
103264,"2005",NA,NA
103264,"2004",4,35
103264,"2002",19,472
103280,"2000",4,103
103280,"2004",NA,NA
103280,"2002",NA,NA
103280,"2001",5,85
103280,"1998",0,120
103280,"2007",28,607
103280,"2008",16,284
103280,"2003",NA,NA
103285,"2007",NA,NA
103285,"2005",211,5756
103285,"2004",NA,NA
103285,"2015",62,1277
103285,"2017",27,385
103285,"2009",NA,NA
103285,"2001",6,254
103285,"1998",1,53
103285,"1999",12,472
103285,"2014",NA,NA
103285,"2012",NA,NA
103285,"2016",35,776
103285,"2010",NA,NA
103285,"2011",71,1737
103285,"2008",NA,NA
103285,"2006",142,3628
103285,"2003",57,1957
103285,"2013",NA,NA
103285,"2002",89,2398
103290,"2001",9,90
103290,"2005",5,76
103292,"2009",30,497
103292,"1999",60,1242
103292,"2003",NA,NA
103292,"2002",NA,NA
103292,"2000",65,1896
103292,"2008",3,49
103292,"2004",180,4931
103292,"2001",85,2125
103292,"2007",22,462
103292,"2006",72,2087
103292,"2010",1,90
103292,"2005",64,1806
103294,"2006",111,2695
103294,"2000",NA,NA
103294,"2007",16,716
103294,"2003",NA,NA
103294,"2010",NA,NA
103294,"2004",37,1336
103294,"2005",35,1240
103294,"2002",118,2458
103294,"2008",11,632
103294,"1999",0,41
103294,"2009",NA,NA
103294,"2001",47,1165
103305,"2004",44,598
103305,"2002",4,73
103305,"1997",8,210
103305,"2000",31,680
103305,"2005",8,177
103305,"2001",65,904
103318,"1997",3,61
103318,"2002",39,1092
103318,"2004",3,89
103318,"1999",NA,NA
103318,"2005",2,110
103318,"2003",57,1011
103318,"1998",NA,NA
103319,"2006",16,497
103319,"2003",42,1108
103319,"2000",8,51
103319,"2005",6,172
103319,"1999",21,168
103319,"2002",51,687
103319,"2001",4,81
103319,"2004",101,1835
103333,"2016",301,4871
103333,"2005",57,1336
103333,"2007",50,1979
103333,"2009",NA,NA
103333,"2015",229,5365
103333,"2001",5,136
103333,"2014",172,4587
103333,"2008",NA,NA
103333,"2017",177,3077
103333,"2018",173,3109
103333,"2003",101,1468
103333,"2019",96,2026
103333,"2021",31,465
103333,"2011",33,1305
103333,"2012",NA,NA
103333,"2002",NA,NA
103333,"2006",37,1410
103333,"2000",NA,NA
103333,"2013",101,2405
103333,"2020",18,438
103333,"2010",19,671
103333,"2004",NA,NA
103339,"2007",24,233
103339,"1998",3,54
103339,"2004",6,131
103339,"2006",21,354
103344,"2010",36,2109
103344,"2003",NA,NA
103344,"2004",NA,NA
103344,"2009",100,4359
103344,"2005",NA,NA
103344,"2012",27,737
103344,"2001",NA,NA
103344,"2006",66,1803
103344,"1999",19,909
103344,"2008",17,1347
103344,"1998",NA,NA
103344,"2007",NA,NA
103344,"1997",16,366
103344,"1996",4,69
103344,"2011",78,3444
103344,"2002",NA,NA
103344,"2000",NA,NA
