"player_id","year","bp","bp_converted"
102667,"1998",4,3
102667,"2004",5,1
102667,"2007",4,0
102667,"2000",5,0
102667,"2001",2,1
102667,"2008",3,2
102667,"2003",8,4
102667,"1995",1,0
102667,"2006",30,12
102667,"1993",2,1
102667,"1999",NA,NA
102667,"1997",8,2
102694,"2005",136,49
102694,"2007",4,2
102694,"2002",245,106
102694,"1997",25,14
102694,"2004",159,54
102694,"2006",70,28
102694,"1999",115,57
102694,"1994",16,6
102694,"2000",25,13
102694,"1996",81,32
102694,"1995",48,23
102694,"2001",260,86
102694,"1998",117,52
102694,"2003",NA,NA
102720,"2000",51,25
102720,"1998",0,0
102720,"2005",122,69
102720,"2001",56,29
102720,"2007",27,14
102720,"1999",70,31
102720,"2003",33,9
102720,"2004",85,25
102720,"2006",65,18
102720,"2008",19,6
102730,"2005",18,5
102730,"2004",63,33
102730,"1999",4,3
102730,"2000",36,12
102730,"2001",93,36
102730,"1998",42,19
102730,"1997",NA,NA
102730,"2002",95,48
102730,"2003",51,20
102770,"2000",15,5
102770,"1997",91,36
102770,"2003",144,67
102770,"1999",262,111
102770,"1998",114,60
102770,"2002",67,31
102770,"2006",4,1
102770,"2001",24,9
102770,"1996",1,1
102770,"2004",21,9
102780,"2009",5,4
102780,"2005",NA,NA
102780,"1998",0,0
102780,"1997",4,2
102780,"2000",3,0
102780,"2002",3,0
102780,"2004",11,6
102780,"2003",7,1
102780,"2001",NA,NA
102780,"2007",NA,NA
102780,"1999",NA,NA
102780,"2008",NA,NA
102783,"2007",151,62
102783,"2009",NA,NA
102783,"2003",NA,NA
102783,"2006",NA,NA
102783,"1999",224,105
102783,"2000",NA,NA
102783,"1997",53,28
102783,"2004",NA,NA
102783,"2008",292,116
102783,"2001",502,206
102783,"2002",NA,NA
102783,"2011",103,41
102783,"1998",180,69
102783,"2010",100,32
102783,"2005",135,43
102783,"1995",9,2
102785,"1998",20,4
102785,"2001",43,15
102785,"2000",2,1
102785,"1997",27,10
102785,"2004",67,26
102785,"2003",6,1
102785,"2006",0,0
102785,"1996",10,3
102785,"2005",20,7
102785,"2002",7,2
102788,"2008",4,3
102788,"2007",7,3
102788,"2001",113,49
102788,"2002",94,40
102788,"2004",83,28
102788,"2006",16,6
102788,"2005",18,9
102788,"2003",90,33
102821,"2011",NA,NA
102821,"2003",87,35
102821,"1998",5,4
102821,"2000",122,49
102821,"2007",NA,NA
102821,"1997",55,24
102821,"2004",27,9
102821,"2008",NA,NA
102821,"2010",NA,NA
102821,"1996",15,7
102821,"2009",NA,NA
102821,"1999",153,49
102821,"2005",21,6
102821,"2002",163,63
102821,"2001",225,77
102834,"2001",87,40
102834,"1993",5,1
102834,"2004",62,26
102834,"2005",183,77
102834,"1994",NA,NA
102834,"2003",58,28
102834,"1998",33,9
102834,"2007",159,70
102834,"1996",11,2
102834,"1999",248,115
102834,"2002",23,8
102834,"2000",343,137
102834,"1995",6,4
102834,"2006",253,110
102845,"2009",32,12
102845,"2010",23,7
102845,"2008",289,105
102845,"2004",NA,NA
102845,"2001",NA,NA
102845,"2000",266,113
102845,"2005",NA,NA
102845,"1995",39,12
102845,"1997",NA,NA
102845,"2007",142,37
102845,"2002",124,36
102845,"1998",NA,NA
102845,"2006",243,93
102845,"1999",NA,NA
102845,"1996",160,54
102845,"2003",NA,NA
102851,"2003",36,17
102851,"2002",9,5
102851,"2001",10,4
102851,"2006",8,4
102851,"1994",16,5
102851,"2000",7,3
102851,"1998",14,7
102851,"2004",NA,NA
102851,"2005",26,12
102860,"2000",NA,NA
102860,"2009",54,25
102860,"2008",NA,NA
102860,"2007",380,154
102860,"2005",109,34
102860,"2001",116,40
102860,"2004",NA,NA
102860,"2006",NA,NA
102860,"1999",61,26
102860,"2003",NA,NA
102860,"2002",213,94
102863,"2009",2,0
102863,"2007",NA,NA
102863,"2008",2,2
102863,"1996",2,0
102863,"2006",16,8
102863,"2002",NA,NA
102863,"2000",12,6
102863,"2001",NA,NA
102863,"2003",NA,NA
102863,"1998",NA,NA
102863,"1995",7,2
102863,"2005",NA,NA
102863,"2004",NA,NA
102863,"1999",58,13
102863,"1997",14,6
102864,"2003",7,3
102864,"2006",5,1
102869,"2001",298,111
102869,"2004",126,49
102869,"1995",51,18
102869,"2002",142,53
102869,"2000",191,80
102869,"2006",18,10
102869,"2003",147,70
102869,"1999",198,82
102869,"1994",5,3
102869,"2005",25,5
102869,"1997",211,89
102869,"1996",79,29
102869,"1998",345,118
102880,"1999",4,3
102880,"2005",91,30
102880,"2000",146,65
102880,"2003",116,52
102880,"2001",102,32
102880,"2004",158,62
102880,"2002",123,57
102881,"1997",14,8
102881,"1994",12,6
102881,"2007",0,0
102881,"2008",4,2
102881,"1995",21,10
102881,"1993",9,5
102881,"2006",1,1
102881,"1996",21,8
102885,"2006",5,1
102886,"2006",10,4
102886,"2005",31,13
102886,"2001",1,1
102886,"2003",86,39
102886,"2012",NA,NA
102886,"2004",19,5
102886,"2010",3,1
102887,"1995",NA,NA
102887,"1999",79,39
102887,"1994",NA,NA
102887,"2007",NA,NA
102887,"2000",34,15
102887,"2005",31,12
102887,"1997",NA,NA
102887,"2002",NA,NA
102887,"2006",31,14
102887,"1998",110,34
102887,"2001",34,9
102887,"2009",1,1
102887,"2003",26,11
102887,"2008",NA,NA
102887,"2004",NA,NA
102887,"2010",15,4
102887,"1996",NA,NA
102904,"2000",33,10
102904,"2006",28,15
102904,"2001",18,2
102925,"2003",149,64
102925,"1996",56,27
102925,"1999",263,105
102925,"1998",129,60
102925,"2001",94,33
102925,"2000",211,72
102925,"2005",98,40
102925,"1995",17,6
102925,"2006",204,72
102925,"2002",82,27
102925,"1997",290,102
102925,"2004",38,9
102925,"2007",31,12
102945,"2007",4,1
102945,"2005",4,0
102950,"2007",12,2
102950,"2005",86,29
102950,"2006",159,55
102950,"1997",102,41
102950,"2003",269,115
102950,"1996",57,23
102950,"2001",359,160
102950,"2000",NA,NA
102950,"1998",148,55
102950,"2009",1,0
102950,"1999",255,117
102950,"2008",14,4
102950,"2002",378,151
102950,"2004",57,22
102956,"2001",2,0
102956,"2000",7,3
102956,"2004",4,2
102956,"1998",0,0
102956,"1996",8,1
102956,"1999",NA,NA
102956,"2007",6,3
102956,"1995",NA,NA
102956,"2006",0,0
102956,"2002",4,1
102965,"2006",14,5
102965,"2003",15,8
102965,"1999",25,9
102965,"2001",52,15
102965,"2000",31,16
102965,"2004",17,3
102965,"2005",22,6
102965,"1997",NA,NA
102965,"2002",NA,NA
102967,"2006",212,78
102967,"2010",87,35
102967,"2013",17,6
102967,"2012",10,4
102967,"2004",20,9
102967,"2011",10,4
102967,"2014",19,8
102967,"2009",306,114
102967,"2005",36,16
102967,"2008",266,115
102967,"2002",3,2
102967,"2007",268,103
102985,"2004",7,4
102985,"2006",20,7
102987,"2000",118,55
102987,"2001",166,71
102987,"2007",3,1
102987,"1999",42,19
102987,"2004",1,1
102987,"1997",10,3
102987,"2003",35,16
102987,"2005",9,5
102987,"2002",NA,NA
102987,"1998",36,13
102987,"2006",2,1
102998,"2003",NA,NA
102998,"2002",262,115
102998,"2005",69,18
102998,"2006",13,5
102998,"1999",295,127
102998,"1997",36,11
102998,"2000",266,112
102998,"2007",10,2
102998,"2001",NA,NA
102998,"1998",NA,NA
102998,"2004",238,91
102998,"1995",3,0
102999,"2006",110,45
102999,"2008",22,11
102999,"2010",7,1
102999,"2001",23,8
102999,"2007",65,30
102999,"2003",25,10
102999,"2002",NA,NA
102999,"2011",9,3
103009,"1993",NA,NA
103009,"1995",10,4
103009,"2004",NA,NA
103009,"2005",108,38
103009,"2006",28,11
103009,"2003",NA,NA
103009,"1997",20,10
103009,"2002",3,1
103009,"1999",4,0
103009,"2000",10,3
103009,"1998",4,1
103009,"1994",NA,NA
103009,"1996",16,7
103032,"2005",20,8
103035,"2005",47,21
103035,"2007",52,25
103035,"2010",14,7
103035,"2003",7,1
103035,"2004",26,10
103035,"2006",122,56
103063,"2005",26,9
103063,"2001",2,0
103063,"2002",39,16
103063,"2009",71,25
103063,"2006",2,0
103063,"2007",11,4
103063,"2004",45,18
103063,"2008",3,1
103076,"2008",6,3
103084,"2000",87,29
103084,"1997",30,11
103084,"2002",153,49
103084,"2007",101,36
103084,"2003",58,18
103084,"1996",20,7
103084,"1999",NA,NA
103084,"2004",365,176
103084,"2001",680,274
103084,"2005",66,22
103084,"2009",120,52
103084,"1998",89,30
103084,"2008",NA,NA
103096,"1999",361,149
103096,"2011",55,24
103096,"2008",110,34
103096,"2007",111,31
103096,"2005",107,33
103096,"1997",49,13
103096,"2002",NA,NA
103096,"2012",46,16
103096,"2003",294,129
103096,"2010",110,38
103096,"2001",NA,NA
103096,"2006",204,97
103096,"2009",213,82
103096,"1998",204,90
103096,"2004",NA,NA
103096,"2000",NA,NA
103104,"2003",15,4
103104,"1996",0,0
103104,"2006",11,3
103104,"2002",7,2
103104,"2009",0,0
103104,"2007",3,3
103104,"2008",38,14
103104,"2004",NA,NA
103105,"2008",45,18
103105,"2013",40,16
103105,"2003",105,47
103105,"2009",87,31
103105,"2014",12,5
103105,"2004",84,27
103105,"2011",126,54
103105,"2005",61,24
103105,"2007",NA,NA
103105,"2001",8,4
103105,"2006",227,112
103105,"2002",18,5
103105,"2010",26,10
103105,"2012",93,37
103110,"2005",NA,NA
103110,"2010",NA,NA
103110,"2006",98,28
103110,"2007",47,18
103110,"1998",34,11
103110,"1995",2,1
103110,"2011",NA,NA
103110,"2004",29,11
103114,"2006",16,4
103114,"1997",48,17
103114,"2000",31,11
103114,"1999",22,9
103114,"1998",15,6
103114,"1996",8,3
103114,"2003",8,4
103114,"2001",47,15
103114,"2002",33,12
103133,"1998",20,7
103133,"2001",18,7
103133,"1996",3,2
103133,"2003",228,108
103133,"2005",14,6
103133,"2002",3,1
103133,"1995",25,10
103133,"2004",142,66
103133,"1997",6,2
103151,"1995",29,13
103151,"2005",263,105
103151,"1996",136,57
103151,"1999",256,119
103151,"1998",210,93
103151,"2002",185,87
103151,"2001",115,44
103151,"2007",NA,NA
103151,"2003",NA,NA
103151,"2004",235,104
103151,"2006",97,27
103151,"2008",13,4
103151,"1997",32,9
103151,"2000",NA,NA
103153,"2001",65,24
103153,"2006",NA,NA
103153,"2003",43,19
103153,"2005",17,7
103153,"2002",6,1
103153,"2004",NA,NA
103157,"2000",22,12
103157,"2002",NA,NA
103157,"1999",16,5
103157,"2004",7,4
103157,"2006",NA,NA
103157,"2003",27,5
103157,"2001",47,12
103163,"1998",132,36
103163,"1997",287,124
103163,"2006",NA,NA
103163,"2013",389,162
103163,"2010",64,22
103163,"2001",NA,NA
103163,"2002",NA,NA
103163,"2004",NA,NA
103163,"2008",156,66
103163,"1996",38,20
103163,"2005",NA,NA
103163,"2015",57,19
103163,"2000",NA,NA
103163,"2009",289,115
103163,"2014",139,62
103163,"1999",NA,NA
103163,"2017",103,30
103163,"2011",113,48
103163,"2012",264,107
103163,"2007",NA,NA
103165,"2005",8,3
103165,"2012",2,0
103165,"2006",16,6
103165,"2007",NA,NA
103165,"2002",22,9
103169,"2003",62,25
103169,"2007",NA,NA
103169,"2008",291,112
103169,"2005",151,57
103169,"2009",242,94
103169,"2004",149,54
103169,"2006",49,18
103169,"2010",64,18
103171,"2000",92,37
103171,"2008",0,0
103171,"2009",23,11
103171,"1998",45,10
103171,"2004",127,54
103171,"1996",7,2
103171,"2001",NA,NA
103171,"2002",NA,NA
103171,"2006",75,37
103171,"1999",20,4
103171,"2003",NA,NA
103171,"2005",31,17
103171,"2007",NA,NA
103175,"2006",NA,NA
103175,"2007",5,2
103175,"2005",18,5
103176,"2004",151,55
103176,"2002",148,60
103176,"2000",68,29
103176,"1997",5,2
103176,"1999",11,3
103176,"1998",6,3
103176,"2005",166,75
103176,"2001",250,106
103176,"2003",226,115
103181,"2007",113,47
103181,"2003",69,29
103181,"2008",70,31
103181,"2004",84,29
103181,"2001",233,93
103181,"2005",155,51
103181,"2006",176,80
103181,"2000",NA,NA
103181,"1995",15,10
103181,"2002",24,13
103181,"2009",3,1
103182,"1997",16,12
103182,"1999",100,32
103182,"2002",NA,NA
103182,"2001",91,30
103182,"1995",5,1
103182,"2000",NA,NA
103182,"2003",44,18
103182,"2005",10,4
103182,"1998",26,6
103182,"1996",12,5
103182,"1994",3,0
103184,"2002",30,10
103184,"2004",3,1
103184,"2003",22,10
103184,"1999",34,16
103184,"2009",NA,NA
103184,"2008",NA,NA
103184,"2000",47,17
103184,"2006",6,2
103184,"2007",NA,NA
103184,"1997",3,0
103184,"1998",48,20
103184,"2005",NA,NA
103184,"2001",32,16
103185,"2002",20,5
103185,"2003",16,9
103185,"2007",1,0
103185,"2008",NA,NA
103185,"1997",4,2
103185,"2001",11,6
103185,"2000",20,8
103188,"2000",45,21
103188,"2003",17,6
103188,"2011",171,77
103188,"2012",146,70
103188,"2002",141,53
103188,"2010",218,88
103188,"2014",132,44
103188,"2001",194,75
103188,"1998",14,3
103188,"2015",17,4
103188,"2007",164,69
103188,"2009",57,19
103188,"2013",139,53
103188,"2006",18,7
103188,"2008",46,21
103193,"2003",2,1
103193,"2004",11,4
103193,"1998",14,5
103193,"2001",107,49
103193,"1997",1,0
103193,"2000",37,9
103193,"1996",8,4
103193,"2007",25,11
103193,"1999",171,62
103193,"2005",NA,NA
103193,"2006",5,3
103201,"2001",1,0
103201,"2007",16,8
103201,"2000",11,8
103201,"2005",NA,NA
103201,"2008",4,1
103201,"2004",35,10
103201,"2006",NA,NA
103201,"2003",0,0
103204,"2008",17,7
103204,"2001",71,22
103204,"2003",23,6
103204,"2004",36,13
103204,"2005",38,11
103204,"2007",29,12
103204,"2002",6,1
103204,"2006",16,6
103204,"2000",15,5
103206,"2003",NA,NA
103206,"2010",31,6
103206,"1998",260,111
103206,"2001",NA,NA
103206,"1999",NA,NA
103206,"2007",120,45
103206,"2009",28,9
103206,"2006",152,66
103206,"2002",NA,NA
103206,"2000",NA,NA
103206,"2008",162,62
103206,"2004",NA,NA
103206,"1997",37,10
103206,"2005",269,125
103209,"2006",17,4
103228,"2006",111,49
103228,"2009",NA,NA
103228,"2004",NA,NA
103228,"2005",10,2
103228,"2011",8,2
103228,"2003",17,9
103228,"2008",63,15
103228,"2002",1,1
103228,"2007",4,0
103228,"2010",39,15
103230,"2005",2,1
103230,"2003",13,5
103230,"2004",4,2
103238,"2003",6,2
103238,"2004",9,2
103238,"2008",15,1
103238,"2007",7,2
103240,"2000",54,17
103240,"2007",117,37
103240,"2005",317,122
103240,"2002",24,12
103240,"1999",4,1
103240,"2003",10,2
103240,"2008",18,5
103240,"2001",15,7
103240,"2004",30,10
103240,"1996",3,0
103240,"2010",17,4
103240,"2009",117,46
103240,"2006",145,64
103248,"2002",47,14
103248,"1999",NA,NA
103248,"2007",8,4
103248,"2009",NA,NA
103248,"2010",10,5
103248,"2003",NA,NA
103248,"2004",37,16
103248,"2000",100,33
103248,"1998",NA,NA
103248,"2006",10,2
103248,"2005",NA,NA
103248,"2008",NA,NA
103248,"2001",115,37
103250,"2007",0,0
103250,"1999",16,4
103250,"2000",15,5
103250,"2003",11,7
103250,"2002",10,5
103252,"1998",33,16
103252,"2001",446,206
103252,"2007",100,37
103252,"1999",126,42
