"player_id","year","first_serve","first_won"
102610,"1996",NA,NA
102615,"2003",570,405
102615,"1996",182,121
102615,"1999",206,149
102615,"1993",31,23
102615,"2002",19,14
102615,"1992",63,41
102615,"1998",597,369
102615,"2007",95,73
102615,"2000",109,88
102615,"1997",535,404
102615,"2001",194,137
102615,"2005",145,96
102615,"2004",896,615
102642,"2002",439,314
102642,"2000",766,548
102642,"2003",1339,986
102642,"2005",1820,1308
102642,"2007",61,49
102642,"2004",2309,1739
102642,"2006",626,458
102642,"1999",203,145
102642,"2001",132,105
102667,"1998",62,43
102667,"2004",87,51
102667,"2007",34,23
102667,"2000",34,20
102667,"2001",40,23
102667,"2008",44,22
102667,"2003",70,42
102667,"1995",19,13
102667,"2006",196,126
102667,"1993",40,22
102667,"1999",NA,NA
102667,"1997",76,47
102694,"2005",1101,739
102694,"2007",59,37
102694,"2002",1499,1023
102694,"1997",283,187
102694,"2004",1204,797
102694,"2006",584,413
102694,"1999",827,560
102694,"1994",98,62
102694,"2000",255,155
102694,"1996",593,415
102694,"1995",363,221
102694,"2001",1593,1077
102694,"1998",804,519
102694,"2003",NA,NA
102720,"2000",211,139
102720,"1998",2,0
102720,"2005",750,564
102720,"2001",593,385
102720,"2007",342,249
102720,"1999",467,312
102720,"2003",246,161
102720,"2004",491,345
102720,"2006",805,511
102720,"2008",129,82
102730,"2005",98,81
102730,"2004",249,196
102730,"1999",5,4
102730,"2000",174,133
102730,"2001",610,430
102730,"1998",229,176
102730,"1997",NA,NA
102730,"2002",771,531
102730,"2003",441,334
102770,"2000",32,28
102770,"1997",542,429
102770,"2003",891,620
102770,"1999",1790,1235
102770,"1998",762,589
102770,"2002",395,272
102770,"2006",39,25
102770,"2001",158,92
102770,"1996",50,31
102770,"2004",110,89
102780,"2009",43,32
102780,"2005",NA,NA
102780,"1998",30,25
102780,"1997",37,28
102780,"2000",52,47
102780,"2002",28,21
102780,"2004",65,60
102780,"2003",77,70
102780,"2001",NA,NA
102780,"2007",NA,NA
102780,"1999",NA,NA
102780,"2008",NA,NA
102783,"2007",1024,682
102783,"2009",NA,NA
102783,"2003",NA,NA
102783,"2006",NA,NA
102783,"1999",946,664
102783,"2000",NA,NA
102783,"1997",253,168
102783,"2004",NA,NA
102783,"2008",2103,1471
102783,"2001",3001,2082
102783,"2002",NA,NA
102783,"2011",949,637
102783,"1998",1168,782
102783,"2010",907,606
102783,"2005",1083,690
102783,"1995",50,30
102785,"1998",131,97
102785,"2001",273,203
102785,"2000",41,24
102785,"1997",241,179
102785,"2004",641,479
102785,"2003",34,24
102785,"2006",27,16
102785,"1996",51,42
102785,"2005",183,142
102785,"2002",28,21
102788,"2008",86,64
102788,"2007",79,53
102788,"2001",775,524
102788,"2002",457,352
102788,"2004",688,462
102788,"2006",119,84
102788,"2005",87,57
102788,"2003",733,501
102821,"2011",NA,NA
102821,"2003",739,459
102821,"1998",48,34
102821,"2000",717,484
102821,"2007",NA,NA
102821,"1997",441,299
102821,"2004",141,98
102821,"2008",NA,NA
102821,"2010",NA,NA
102821,"1996",152,91
102821,"2009",NA,NA
102821,"1999",883,553
102821,"2005",122,89
102821,"2002",1131,750
102821,"2001",1455,983
102834,"2001",616,368
102834,"1993",62,34
102834,"2004",545,367
102834,"2005",1169,782
102834,"1994",NA,NA
102834,"2003",389,249
102834,"1998",261,189
102834,"2007",1023,651
102834,"1996",57,39
102834,"1999",1712,1100
102834,"2002",209,139
102834,"2000",2098,1361
102834,"1995",52,35
102834,"2006",1516,992
102845,"2009",256,189
102845,"2010",105,75
102845,"2008",2334,1650
102845,"2004",NA,NA
102845,"2001",NA,NA
102845,"2000",1335,1015
102845,"2005",NA,NA
102845,"1995",313,183
102845,"1997",NA,NA
102845,"2007",1320,875
102845,"2002",1041,735
102845,"1998",NA,NA
102845,"2006",1510,1175
102845,"1999",NA,NA
102845,"1996",1416,912
102845,"2003",NA,NA
102851,"2003",360,218
102851,"2002",52,37
102851,"2001",46,24
102851,"2006",76,46
102851,"1994",62,40
102851,"2000",40,27
102851,"1998",177,116
102851,"2004",NA,NA
102851,"2005",188,123
102860,"2000",NA,NA
102860,"2009",541,366
102860,"2008",NA,NA
102860,"2007",2257,1678
102860,"2005",891,599
102860,"2001",818,604
102860,"2004",NA,NA
102860,"2006",NA,NA
102860,"1999",263,204
102860,"2003",NA,NA
102860,"2002",914,697
102863,"2009",28,16
102863,"2007",NA,NA
102863,"2008",49,37
102863,"1996",42,24
102863,"2006",228,181
102863,"2002",NA,NA
102863,"2000",112,78
102863,"2001",NA,NA
102863,"2003",NA,NA
102863,"1998",NA,NA
102863,"1995",72,46
102863,"2005",NA,NA
102863,"2004",NA,NA
102863,"1999",628,431
102863,"1997",51,30
102864,"2003",53,42
102864,"2006",37,23
102869,"2001",1630,1145
102869,"2004",918,601
102869,"1995",309,189
102869,"2002",972,686
102869,"2000",1258,899
102869,"2006",127,80
102869,"2003",827,563
102869,"1999",1361,977
102869,"1994",63,43
102869,"2005",106,73
102869,"1997",1751,1181
102869,"1996",855,538
102869,"1998",1913,1294
102880,"1999",49,43
102880,"2005",871,602
102880,"2000",1015,712
102880,"2003",1039,734
102880,"2001",580,381
102880,"2004",1270,882
102880,"2002",802,558
102881,"1997",164,101
102881,"1994",45,29
102881,"2007",3,0
102881,"2008",57,35
102881,"1995",94,54
102881,"1993",80,41
102881,"2006",28,16
102881,"1996",175,102
102885,"2006",24,15
102886,"2006",74,47
102886,"2005",220,154
102886,"2001",24,14
102886,"2003",495,325
102886,"2012",NA,NA
102886,"2004",141,102
102886,"2010",52,32
102887,"1995",NA,NA
102887,"1999",465,347
102887,"1994",NA,NA
102887,"2007",NA,NA
102887,"2000",172,120
102887,"2005",146,101
102887,"1997",NA,NA
102887,"2002",NA,NA
102887,"2006",372,236
102887,"1998",997,689
102887,"2001",311,195
102887,"2009",42,34
102887,"2003",350,227
102887,"2008",NA,NA
102887,"2004",NA,NA
102887,"2010",117,71
102887,"1996",NA,NA
102904,"2000",137,86
102904,"2006",166,106
102904,"2001",122,86
102925,"2003",1110,822
102925,"1996",380,275
102925,"1999",2016,1448
102925,"1998",632,458
102925,"2001",659,469
102925,"2000",1508,1093
102925,"2005",859,659
102925,"1995",188,131
102925,"2006",1488,1079
102925,"2002",471,343
102925,"1997",1992,1440
102925,"2004",196,140
102925,"2007",538,356
102945,"2007",58,52
102945,"2005",42,35
102950,"2007",273,155
102950,"2005",471,309
102950,"2006",1110,700
102950,"1997",601,345
102950,"2003",2066,1408
102950,"1996",288,179
102950,"2001",2351,1602
102950,"2000",NA,NA
102950,"1998",966,552
102950,"2009",23,7
102950,"1999",1132,811
102950,"2008",34,21
102950,"2002",2422,1653
102950,"2004",424,280
102956,"2001",27,17
102956,"2000",38,18
102956,"2004",36,16
102956,"1998",0,0
102956,"1996",21,7
102956,"1999",NA,NA
102956,"2007",43,27
102956,"1995",NA,NA
102956,"2006",30,17
102956,"2002",33,19
102965,"2006",82,65
102965,"2003",124,83
102965,"1999",146,108
102965,"2001",427,313
102965,"2000",153,115
102965,"2004",148,110
102965,"2005",154,98
102965,"1997",NA,NA
102965,"2002",NA,NA
102967,"2006",1319,987
102967,"2010",708,488
102967,"2013",212,130
102967,"2012",51,37
102967,"2004",152,94
102967,"2011",147,107
102967,"2014",140,108
102967,"2009",2006,1451
102967,"2005",193,136
102967,"2008",2061,1497
102967,"2002",77,56
102967,"2007",2005,1475
102985,"2004",59,41
102985,"2006",163,99
102987,"2000",501,357
102987,"2001",1189,773
102987,"2007",80,57
102987,"1999",276,165
102987,"2004",48,29
102987,"1997",34,23
102987,"2003",227,157
102987,"2005",60,26
102987,"2002",NA,NA
102987,"1998",262,175
102987,"2006",46,26
102998,"2003",NA,NA
102998,"2002",1311,1074
102998,"2005",662,513
102998,"2006",65,48
102998,"1999",2220,1699
102998,"1997",329,234
102998,"2000",1374,1143
102998,"2007",73,58
102998,"2001",NA,NA
102998,"1998",NA,NA
102998,"2004",1995,1520
102998,"1995",33,24
102999,"2006",772,524
102999,"2008",140,99
102999,"2010",52,34
102999,"2001",104,62
102999,"2007",508,320
102999,"2003",167,115
102999,"2002",NA,NA
102999,"2011",64,41
103009,"1993",NA,NA
103009,"1995",38,26
103009,"2004",NA,NA
103009,"2005",694,426
103009,"2006",122,84
103009,"2003",NA,NA
103009,"1997",165,111
103009,"2002",45,31
103009,"1999",51,23
103009,"2000",50,37
103009,"1998",58,35
103009,"1994",NA,NA
103009,"1996",88,54
103032,"2005",164,100
103035,"2005",406,271
103035,"2007",228,147
103035,"2010",93,61
103035,"2003",29,18
103035,"2004",145,95
103035,"2006",961,610
103063,"2005",228,158
103063,"2001",33,23
103063,"2002",201,108
103063,"2009",490,362
103063,"2006",40,26
103063,"2007",115,78
103063,"2004",387,258
103063,"2008",37,28
103076,"2008",57,42
103084,"2000",480,316
103084,"1997",169,116
103084,"2002",1153,788
103084,"2007",885,603
103084,"2003",352,255
103084,"1996",104,71
103084,"1999",NA,NA
103084,"2004",1639,1231
103084,"2001",3357,2388
103084,"2005",525,340
103084,"2009",785,574
103084,"1998",635,434
103084,"2008",NA,NA
103096,"1999",2262,1536
103096,"2011",252,187
103096,"2008",835,546
103096,"2007",1175,840
103096,"2005",951,639
103096,"1997",347,240
103096,"2002",NA,NA
103096,"2012",296,204
103096,"2003",1414,1059
103096,"2010",1005,693
103096,"2001",NA,NA
103096,"2006",1126,843
103096,"2009",1541,1069
103096,"1998",1582,1057
103096,"2004",NA,NA
103096,"2000",NA,NA
103104,"2003",67,46
103104,"1996",36,19
103104,"2006",107,60
103104,"2002",76,47
103104,"2009",37,19
103104,"2007",54,38
103104,"2008",151,91
103104,"2004",NA,NA
103105,"2008",273,180
103105,"2013",275,201
103105,"2003",704,475
103105,"2009",640,423
103105,"2014",99,61
103105,"2004",903,577
103105,"2011",976,623
103105,"2005",355,236
103105,"2007",NA,NA
103105,"2001",71,44
103105,"2006",1140,839
103105,"2002",127,75
103105,"2010",222,154
103105,"2012",683,452
103110,"2005",NA,NA
103110,"2010",NA,NA
103110,"2006",1002,696
103110,"2007",195,158
103110,"1998",252,195
103110,"1995",30,19
103110,"2011",NA,NA
103110,"2004",180,133
103114,"2006",147,100
103114,"1997",271,193
103114,"2000",252,188
103114,"1999",159,112
103114,"1998",204,140
103114,"1996",52,33
103114,"2003",64,36
103114,"2001",484,313
103114,"2002",187,137
103133,"1998",91,67
103133,"2001",83,57
103133,"1996",45,32
103133,"2003",1384,942
103133,"2005",153,103
103133,"2002",26,15
103133,"1995",159,95
103133,"2004",894,584
103133,"1997",34,23
103151,"1995",182,104
103151,"2005",1469,1033
103151,"1996",810,507
103151,"1999",1215,900
103151,"1998",1047,720
103151,"2002",1111,795
103151,"2001",837,552
103151,"2007",NA,NA
103151,"2003",NA,NA
103151,"2004",1111,836
103151,"2006",610,423
103151,"2008",90,66
103151,"1997",286,192
103151,"2000",NA,NA
103153,"2001",274,195
103153,"2006",NA,NA
103153,"2003",290,215
103153,"2005",264,199
103153,"2002",102,66
103153,"2004",NA,NA
103157,"2000",204,165
103157,"2002",NA,NA
103157,"1999",163,111
103157,"2004",61,37
103157,"2006",NA,NA
103157,"2003",285,196
103157,"2001",346,246
103163,"1998",1163,774
103163,"1997",1869,1316
103163,"2006",NA,NA
103163,"2013",2248,1753
103163,"2010",434,310
103163,"2001",NA,NA
103163,"2002",NA,NA
103163,"2004",NA,NA
103163,"2008",856,662
103163,"1996",271,190
103163,"2005",NA,NA
103163,"2015",588,411
103163,"2000",NA,NA
103163,"2009",1628,1290
103163,"2014",1079,773
103163,"1999",NA,NA
103163,"2017",1047,719
103163,"2011",1006,719
103163,"2012",1276,998
103163,"2007",NA,NA
103165,"2005",48,27
103165,"2012",40,25
103165,"2006",195,113
103165,"2007",NA,NA
103165,"2002",114,72
103169,"2003",495,330
103169,"2007",NA,NA
103169,"2008",1999,1305
103169,"2005",966,598
103169,"2009",2034,1337
103169,"2004",1273,807
103169,"2006",423,272
103169,"2010",757,458
103171,"2000",798,580
103171,"2008",36,25
103171,"2009",234,176
103171,"1998",197,132
103171,"2004",834,675
103171,"1996",35,23
103171,"2001",NA,NA
103171,"2002",NA,NA
103171,"2006",318,264
103171,"1999",114,77
103171,"2003",NA,NA
103171,"2005",213,171
103171,"2007",NA,NA
103175,"2006",NA,NA
103175,"2007",112,77
103175,"2005",110,62
103176,"2004",1244,798
103176,"2002",1135,728
103176,"2000",399,241
103176,"1997",29,16
103176,"1999",54,31
103176,"1998",97,53
103176,"2005",1119,704
103176,"2001",1555,986
103176,"2003",998,675
103181,"2007",922,632
