"player_id","name_first","name_last","hand","dob","ioc","height"
104918,"Andy","Murray","R",19870515,"GBR",191
104919,"Leonardo","Mayer","R",19870515,"ARG",188
104925,"Novak","Djokovic","R",19870522,"SRB",188
104926,"Fabio","Fognini","R",19870524,"ITA",178
104932,"Kenny","De Schepper","L",19870529,"FRA",203
104944,"Niels","Desein","R",19870609,"BEL",190
104947,"Marsel","Ilhan","R",19870611,"TUR",191
104948,"Petar","Jelenic","R",19870613,"CRO",NA
104951,"Aljoscha","Thron","R",19870615,"GER",NA
104953,"Nikolai","Fidirko","R",19870615,"BLR",NA
104958,"Carsten","Ball","L",19870620,"AUS",198
104963,"Yannick","Mertens","R",19870625,"BEL",185
104967,"Alexander","Sadecky","L",19870706,"SUI",193
104970,"Matteo","Viola","R",19870707,"ITA",188
104971,"Blake","Strode","R",19870709,"USA",188
104975,"Evgeny","Kirillov","R",19870714,"RUS",NA
104976,"Ryan","Sweeting","R",19870714,"USA",196
104978,"Daniel","Brands","R",19870717,"GER",196
104979,"Andrey","Golubev","R",19870722,"KAZ",180
104986,"Vishnu","Vardhan","R",19870727,"IND",188
104993,"Martin","Vaisse","U",19870811,"FRA",NA
104997,"Igor","Sijsling","R",19870818,"NED",191
104999,"Mischa","Zverev","L",19870822,"GER",190
105011,"Illya","Marchenko","R",19870908,"UKR",185
105014,"Antal","Van Der Duim","R",19870916,"NED",185
105015,"Franko","Skugor","R",19870920,"CRO",196
105023,"Sam","Querrey","R",19871007,"USA",198
105026,"Takuto","Niki","R",19871012,"JPN",183
105028,"Jesse","Levine","L",19871015,"CAN",175
105030,"Michael","Venus","R",19871016,"NZL",191
105031,"Saketh","Myneni","R",19871019,"IND",193
105032,"Sam","Groth","R",19871019,"AUS",193
105047,"Tim","Puetz","R",19871119,"GER",185
105048,"Alex","Clayton","R",19871123,"USA",183
105051,"Matthew","Ebden","R",19871126,"AUS",188
105059,"Kento","Takeuchi","L",19871219,"JPN",NA
105060,"Aldin","Setkic","R",19871221,"BIH",191
105062,"Mikhail","Kukushkin","R",19871226,"KAZ",183
105063,"Andrea","Arnaboldi","L",19871227,"ITA",180
105065,"Tim","Smyczek","R",19871230,"USA",175
105074,"Ruben","Bemelmans","L",19880114,"BEL",183
105077,"Albert","Ramos","L",19880117,"ESP",188
105080,"Miloslav","Mecir Jr","R",19880120,"SVK",190
105084,"James","Lemke","R",19880125,"AUS",NA
105091,"Peter","Torebko","R",19880210,"GER",185
105095,"Evgeny","Korolev","R",19880214,"KAZ",185
105098,"Alexandre","Sidorenko","R",19880218,"FRA",185
105099,"Antonio","Veic","R",19880218,"CRO",180
105100,"Edward","Corrie","R",19880221,"GBR",183
105104,"Robin","Roshardt","R",19880222,"SUI",NA
105113,"Patrik","Rosenholm","R",19880305,"SWE",178
105116,"Dusan","Lojda","L",19880308,"CZE",188
105120,"Andres","Molteni","R",19880315,"ARG",180
105128,"Guillermo","Olaso","U",19880325,"ESP",175
