"player_id","year","second_return","second_won"
102585,"1999",48,18
102585,"2003",29,11
102585,"1997",80,34
102585,"1996",53,21
102585,"2007",NA,NA
102610,"1999",682,275
102610,"2005",760,317
102610,"2002",1779,776
102610,"2004",660,300
102610,"1998",1338,708
102610,"2001",698,292
102610,"1993",112,60
102610,"1997",NA,NA
102610,"1995",1590,760
102610,"2000",NA,NA
102610,"2003",NA,NA
102610,"1994",414,227
102610,"2006",119,66
102610,"1996",NA,NA
102615,"2003",345,134
102615,"1996",115,43
102615,"1999",166,80
102615,"1993",21,7
102615,"2002",16,2
102615,"1992",42,22
102615,"1998",380,141
102615,"2007",55,22
102615,"2000",75,30
102615,"1997",317,154
102615,"2001",112,49
102615,"2005",72,28
102615,"2004",624,264
102642,"2002",295,129
102642,"2000",562,224
102642,"2003",798,343
102642,"2005",1106,463
102642,"2007",55,25
102642,"2004",1591,683
102642,"2006",392,146
102642,"1999",145,60
102642,"2001",82,37
102667,"1998",21,8
102667,"2004",39,15
102667,"2007",12,6
102667,"2000",21,11
102667,"2001",19,8
102667,"2008",15,7
102667,"2003",37,15
102667,"1995",11,3
102667,"2006",101,48
102667,"1993",12,5
102667,"1999",NA,NA
102667,"1997",31,12
102694,"2005",680,279
102694,"2007",21,11
102694,"2002",977,422
102694,"1997",145,70
102694,"2004",654,279
102694,"2006",352,161
102694,"1999",498,224
102694,"1994",90,51
102694,"2000",170,65
102694,"1996",352,137
102694,"1995",192,105
102694,"2001",1030,478
102694,"1998",461,201
102694,"2003",NA,NA
102720,"2000",136,74
102720,"1998",0,0
102720,"2005",480,267
102720,"2001",319,136
102720,"2007",170,70
102720,"1999",289,126
102720,"2003",150,56
102720,"2004",341,136
102720,"2006",443,185
102720,"2008",78,33
102730,"2005",62,26
102730,"2004",145,75
102730,"1999",5,5
102730,"2000",138,57
102730,"2001",434,173
102730,"1998",155,84
102730,"1997",NA,NA
102730,"2002",560,226
102730,"2003",266,97
102770,"2000",34,17
102770,"1997",384,188
102770,"2003",618,264
102770,"1999",1200,514
102770,"1998",524,252
102770,"2002",228,105
102770,"2006",21,8
102770,"2001",110,50
102770,"1996",28,11
102770,"2004",77,38
102780,"2009",17,10
102780,"2005",NA,NA
102780,"1998",25,4
102780,"1997",37,13
102780,"2000",28,8
102780,"2002",18,3
102780,"2004",45,18
102780,"2003",43,15
102780,"2001",NA,NA
102780,"2007",NA,NA
102780,"1999",NA,NA
102780,"2008",NA,NA
102783,"2007",610,269
102783,"2009",NA,NA
102783,"2003",NA,NA
102783,"2006",NA,NA
102783,"1999",619,325
102783,"2000",NA,NA
102783,"1997",181,84
102783,"2004",NA,NA
102783,"2008",1252,543
102783,"2001",1974,871
102783,"2002",NA,NA
102783,"2011",535,228
102783,"1998",739,326
102783,"2010",526,218
102783,"2005",633,243
102783,"1995",20,10
102785,"1998",67,24
102785,"2001",172,79
102785,"2000",38,18
102785,"1997",162,64
102785,"2004",426,167
102785,"2003",22,9
102785,"2006",21,8
102785,"1996",30,14
102785,"2005",163,59
102785,"2002",33,15
102788,"2008",39,15
102788,"2007",33,20
102788,"2001",476,205
102788,"2002",292,136
102788,"2004",383,146
102788,"2006",79,36
102788,"2005",60,32
102788,"2003",492,194
102821,"2011",NA,NA
102821,"2003",409,155
102821,"1998",41,18
102821,"2000",530,233
102821,"2007",NA,NA
102821,"1997",262,117
102821,"2004",109,45
102821,"2008",NA,NA
102821,"2010",NA,NA
102821,"1996",116,51
102821,"2009",NA,NA
102821,"1999",582,250
102821,"2005",78,37
102821,"2002",703,301
102821,"2001",929,382
102834,"2001",388,163
102834,"1993",13,6
102834,"2004",299,129
102834,"2005",685,318
102834,"1994",NA,NA
102834,"2003",209,102
102834,"1998",175,77
102834,"2007",568,277
102834,"1996",41,20
102834,"1999",986,476
102834,"2002",110,42
102834,"2000",1289,575
102834,"1995",30,12
102834,"2006",916,426
102845,"2009",145,64
102845,"2010",51,20
102845,"2008",1338,551
102845,"2004",NA,NA
102845,"2001",NA,NA
102845,"2000",898,425
102845,"2005",NA,NA
102845,"1995",164,60
