"player_id","name_first","name_last","hand","dob","ioc","height"
202407,"Palma","Kiraly","R",19910202,"HUN",NA
202408,"Amanda","Fink","U",19861204,"USA",NA
202414,"Catherine","Harrison","R",19940409,"USA",NA
202416,"Nungnadda","Wannasuk","R",19891111,"THA",165
202417,"Tetiana","Luzhanska","R",19840904,"USA",NA
202418,"Lara","Arruabarrena","R",19920320,"ESP",166
202420,"An Sophie","Mestach","R",19940307,"BEL",170
202421,"Alison","Van Uytvanck","R",19940326,"BEL",173
202422,"Shuko","Aoyama","R",19871219,"JPN",154
202423,"Sarah","Gronert","U",19860706,"GER",NA
202424,"Conny","Perrin","R",19901225,"SUI",174
202425,"Samantha","Murray","R",19871009,"GBR",178
202426,"Julia","Boserup","R",19910909,"USA",181
202427,"Johanna","Konta","R",19910517,"GBR",180
202428,"Kiki","Bertens","R",19911210,"NED",182
202429,"Camila","Giorgi","R",19911230,"ITA",168
202430,"Alize","Lim","R",19900713,"FRA",173
202431,"Tetyana","Arefyeva","R",19910309,"UKR",NA
202433,"Anna Giulia","Remondina","R",19890601,"ITA",NA
202434,"Aleksandra","Krunic","R",19930315,"SRB",163
202435,"Vanda","Lukacs","U",19921208,"HUN",NA
202437,"Anastasia","Grymalska","R",19900712,"ITA",NA
202439,"Silvia","Albano","R",19940912,"ITA",NA
202440,"Paula","Ormaechea","R",19920928,"ARG",170
202441,"Nina","Khrisanova","R",19941209,"RUS",NA
202443,"Valeria","Savinykh","R",19910220,"RUS",167
202444,"Kamilla","Farhad","R",19960118,"AZE",NA
202445,"Valeria","Solovieva","R",19921103,"RUS",168
202446,"Eugenie","Bouchard","R",19940225,"CAN",178
202447,"Alexandra","Mueller","R",19880214,"USA",180
202448,"Zoe Gwen","Scandalis","R",19930921,"USA",NA
202449,"Victoria","Larriere","R",19910502,"FRA",NA
202450,"Jana","Cepelova","R",19930529,"SVK",168
202452,"Yi Jing","Zhao","U",19890207,"CHN",NA
202453,"Saisai","Zheng","R",19940205,"CHN",170
202454,"Erika","Sema","R",19881124,"JPN",163
202455,"Yue Yue","Hu","U",19900313,"CHN",NA
202456,"Alexandra","Cadantu Ignatik","R",19900503,"ROU",170
202458,"Ashleigh","Barty","R",19960424,"AUS",166
202459,"Bojana","Bobusic","R",19871002,"AUS",170
202460,"Ons","Jabeur","R",19940828,"TUN",167
202461,"Julia","Cohen","R",19890323,"USA",170
202463,"Ines","Ferrer Suarez","U",19900601,"ESP",NA
202464,"Yuliana","Lizarazo","R",19930523,"COL",175
202465,"Maria","Abramovic","R",19870819,"CRO",NA
202466,"Nadia","Abdala","U",19880814,"MEX",NA
202468,"Jessica","Pegula","R",19940224,"USA",170
202469,"Garbine","Muguruza","R",19931008,"ESP",182
202473,"Annalisa","Bona","R",19821115,"ITA",NA
202474,"Henrietta","Habler","U",19860625,"HUN",NA
202476,"Csilla","Borsanyi","U",19870802,"HUN",NA
202477,"Dinah","Pfizenmaier","R",19920113,"GER",171
202478,"Tara","Moore","R",19920806,"GBR",163
202479,"Grace","Min","R",19940506,"USA",163
202480,"Richel","Hogenkamp","R",19920416,"NED",168
202481,"Chi Chi","Scholl","R",19920705,"USA",NA
202482,"Barbara","Haas","R",19960319,"AUT",165
202483,"Sandra","Zaniewska","R",19920103,"POL",172
202484,"Nicole","Gibbs","R",19930303,"USA",168
202485,"Jana","Juricova","R",19871208,"SVK",NA
202486,"Mallory","Burdette","R",19910128,"USA",178
202487,"Nastassja","Burnett","R",19920220,"ITA",178
202488,"Valentyna","Ivakhnenko","R",19930627,"UKR",163
202489,"Carina","Witthoeft","R",19950216,"GER",176
202490,"Rebecca","Peterson","R",19950806,"SWE",173
202491,"Varvara","Flink","R",19961213,"RUS",175
202493,"Ekaterine","Gorgodze","L",19911203,"GEO",NA
202494,"Elina","Svitolina","R",19940912,"UKR",174
202495,"Jennifer","Elie","R",19860922,"USA",NA
202496,"Samantha","Crawford","R",19950218,"USA",188
202497,"Victoria","Duval","R",19951130,"USA",178
202498,"Julia","Glushko","R",19900101,"ISR",171
202499,"Donna","Vekic","R",19960628,"CRO",179
202500,"Maria","Sanchez","R",19891126,"USA",178
202504,"Ying Ying","Duan","R",19890703,"CHN",186
202505,"Belinda","Bencic","R",19970310,"SUI",175
202506,"Margarita","Gasparyan","R",19940901,"RUS",183
202508,"Yuxuan","Zhang","R",19940819,"CHN",179
202536,"Ana","Bogdan","R",19921125,"ROU",171
202539,"Alison","Bai","R",19900118,"AUS",170
202558,"Veronika","Kapshay","U",19861202,"UKR",175
202578,"Laura Ioana","Andrei","R",19880531,"ROU",173
202579,"Giulia","Gatto Monticone","R",19871118,"ITA",177
202580,"Federica","Di Sarra","R",19900516,"ITA",NA
202594,"Elena","Bogdan","L",19920328,"ROU",183
202596,"Mihaela","Buzarnescu","L",19880504,"ROU",175
202600,"Viktoriya","Tomova","R",19950225,"BUL",170
202606,"Claudia","Giovine","R",19900718,"ITA",NA
202614,"Jacqueline","Cako","R",19910830,"USA",178
202628,"Maryna","Zanevska","R",19930824,"BEL",175
202639,"Akiko","Omae","R",19930129,"JPN",162
202642,"Gioia","Barbieri","R",19910709,"ITA",170
202653,"Denisa","Allertova","R",19930307,"CZE",180
202659,"Tereza","Mrdeza","R",19901114,"CRO",173
202662,"Camilla","Rosatello","R",19950528,"ITA",NA
202663,"Magda","Linette","R",19920212,"POL",171
202672,"Ekaterina","Yashina","R",19930806,"RUS",173
202681,"Gabriela","Dabrowski","R",19920401,"CAN",175
202684,"Lin","Zhu","R",19940128,"CHN",173
202685,"Misa","Eguchi","R",19920418,"JPN",173
202688,"Isabella","Shinikova","R",19911025,"BUL",184
202693,"Ya Hsuan","Lee","R",19950720,"TPE",165
202695,"Aleksandrina","Naydenova","R",19920229,"BUL",170
202701,"Irina","Khromacheva","L",19950512,"RUS",170
202702,"Tereza","Smitkova","R",19941010,"CZE",176
202706,"Manon","Arcangioli","R",19940828,"FRA",162
202707,"Myrtille","Georges","R",19901221,"FRA",174
202858,"Anne","Schaefer","R",19870301,"GER",NA
202916,"Georgina","Garcia Perez","U",19920513,"ESP",187
202919,"Chang","Liu","R",19900801,"CHN",160
202921,"Shiho","Akita","R",19900118,"JPN",155
202922,"Michaela","Honcova","R",19921222,"SVK",NA
202932,"Marta","Sirotkina","R",19910322,"RUS",170
203236,"Angelina","Gabueva","U",19881207,"RUS",NA
203281,"Amandine","Hesse","R",19930116,"FRA",164
203288,"Jia Jing","Lu","R",19891118,"CHN",173
203297,"Nadiya","Kichenok","R",19920720,"UKR",172
203315,"Alexa","Guarachi","R",19901117,"USA",173
203325,"Martina","Di Giuseppe","R",19910210,"ITA",NA
203341,"Sanaz","Marand","L",19880621,"USA",NA
203354,"Martina","Trevisan","L",19931103,"ITA",160
203379,"Marina","Melnikova","R",19890205,"RUS",173
203389,"Danielle","Collins","R",19931213,"USA",178
203398,"Danielle","Lao","R",19910528,"USA",160
203435,"Dalila","Jakupovic","R",19910324,"SLO",178
203456,"Jelena","Simic","U",19920219,"BIH",NA
203462,"Kateryna","Baindl","R",19940220,"UKR",175
203463,"Nuria","Parrizas Diaz","R",19910715,"ESP",167
203475,"Carol","Zhao","R",19950620,"CAN",165
203500,"Sachia","Vickery","R",19950511,"USA",162
203501,"Taylor","Townsend","L",19960416,"USA",170
203504,"Miyu","Kato","R",19941121,"JPN",156
203513,"Robin","Anderson","R",19930412,"USA",160
