"player_id","year","returns","returns_won"
103451,"2002",511,197
103451,"2006",3100,1149
103451,"1999",319,136
103451,"2007",1159,441
103451,"2009",1983,738
103451,"2011",658,229
103451,"1998",NA,NA
103451,"2014",342,138
103451,"2004",611,258
103451,"2012",1764,639
103451,"2001",458,166
103451,"2008",534,180
103451,"2005",1928,731
103451,"2013",460,159
103451,"2003",449,155
103451,"2000",NA,NA
103470,"2011",951,311
103470,"2012",NA,NA
103470,"2005",NA,NA
103470,"2009",1885,628
103470,"2007",1792,604
103470,"2008",1085,342
103470,"2003",1262,433
103470,"2004",580,190
103470,"2010",NA,NA
103470,"2006",717,249
103487,"2002",474,159
103487,"2007",NA,NA
103487,"2001",NA,NA
103487,"2005",597,226
103487,"2000",351,140
103487,"2006",305,111
103487,"1998",NA,NA
103490,"2009",939,375
103490,"2007",542,212
103490,"2006",214,74
103490,"2010",961,334
103490,"2004",NA,NA
103490,"2005",1903,711
103490,"2008",1695,625
103516,"2005",371,135
103516,"2006",536,169
103516,"2004",NA,NA
103516,"2007",382,136
103534,"2004",168,58
103534,"2012",226,104
103534,"2009",1571,580
103534,"2007",1854,685
103534,"2008",1130,431
103534,"2011",NA,NA
103534,"2005",NA,NA
103534,"2006",207,72
103538,"2006",210,71
103543,"2010",214,59
103543,"2008",601,200
103565,"2010",2164,840
103565,"2020",NA,NA
103565,"2011",561,178
103565,"2018",268,98
103565,"2015",555,206
103565,"2004",231,97
103565,"2017",762,250
103565,"2016",2638,1034
103565,"2014",1221,447
103565,"2012",NA,NA
103565,"2013",431,171
103566,"2013",NA,NA
103566,"2000",1040,390
103566,"2014",691,232
103566,"2008",NA,NA
103566,"2003",1040,334
103566,"2006",NA,NA
103566,"2010",NA,NA
103566,"2009",2245,756
103566,"2001",1489,534
103566,"2002",NA,NA
103566,"2005",2347,760
103566,"2007",2735,956
103566,"2004",2457,932
103566,"2011",NA,NA
103566,"2012",2186,748
103582,"2016",993,347
103582,"2007",2038,718
103582,"2010",3588,1218
103582,"2005",169,50
103582,"2014",692,222
103582,"2015",1302,401
103582,"2013",392,162
103582,"2011",2956,1044
103582,"2012",1292,461
103582,"2004",NA,NA
103582,"2006",1298,451
103582,"2008",NA,NA
103582,"2009",1154,451
103656,"2005",2242,813
103656,"2010",NA,NA
103656,"2007",NA,NA
103656,"2006",2095,797
103656,"2008",3447,1271
103656,"2012",1563,574
103656,"2004",1806,651
103656,"2014",1913,670
103656,"2003",1725,657
103656,"2017",106,42
103656,"2001",1647,666
103656,"2011",3730,1462
103656,"2002",3085,1083
103656,"2009",NA,NA
103656,"2013",2669,972
103656,"2015",1118,436
103656,"2016",1065,358
103675,"2006",323,129
103675,"2007",NA,NA
103675,"2009",1480,533
103675,"2008",204,73
103675,"2010",NA,NA
103675,"2012",233,84
103675,"2011",468,163
103693,"2010",NA,NA
103693,"2006",694,247
103693,"2003",531,208
103693,"2008",686,223
