"","player_id","year","bp","bp_converted"
"696",102381,"2004",4,4
"697",102381,"2004",23,6
"699",102382,"2002",43,13
"700",102382,"2003",19,7
"701",102382,"1992",20,8
"704",102382,"1994",5,2
"708",102382,"2001",25,8
"709",102382,"2003",14,11
"712",102388,"2011",NA,NA
"713",102401,"1996",202,81
"717",102401,"2003",80,30
"718",102401,"1999",NA,NA
"719",102401,"1999",69,35
"720",102401,"2002",NA,NA
"723",102401,"1995",NA,NA
"726",102401,"2000",14,6
"727",102401,"1997",NA,NA
"728",102401,"1998",NA,NA
"729",102401,"2003",95,21
"732",102405,"1997",NA,NA
"733",102405,"2000",1,1
"736",102405,"2008",NA,NA
"738",102434,"1995",202,62
"739",102434,"2007",234,106
"740",102434,"2000",41,16
"741",102434,"1993",8,5
"743",102434,"2000",NA,NA
"746",102434,"2001",9,3
"747",102434,"2009",19,11
"748",102434,"1994",103,35
"750",102434,"2001",11,3
"752",102434,"2006",177,52
"753",102434,"1997",132,48
"755",102434,"1996",NA,NA
"758",102434,"1993",43,16
"760",102434,"1994",NA,NA
"763",102434,"2005",185,93
"772",102450,"2000",NA,NA
"774",102450,"2001",NA,NA
"775",102450,"2007",NA,NA
"777",102450,"2006",125,38
"781",102450,"2007",71,29
"782",102450,"2001",154,48
"783",102450,"1996",NA,NA
"784",102450,"1995",NA,NA
"785",102450,"1998",NA,NA
"787",102450,"1997",NA,NA
"790",102456,"2004",114,34
"794",102456,"2000",78,29
"798",102456,"1997",NA,NA
"804",102456,"2001",237,121
"809",102456,"1994",6,3
"811",102494,"2006",37,19
"812",102494,"1999",4,2
"813",102494,"1997",6,5
"816",102494,"2000",86,27
"818",102494,"1997",3,2
"822",102494,"2001",49,22
"827",102494,"2006",56,19
"828",102494,"2005",73,33
"830",102496,"2004",NA,NA
"834",102497,"1999",6,2
"840",102497,"2005",2,0
"842",102512,"2007",20,8
"844",102512,"2007",2,0
"847",102512,"2003",8,3
"848",102512,"2008",28,10
"852",102538,"2000",NA,NA
"855",102538,"2001",NA,NA
"859",102538,"1999",NA,NA
"862",102538,"1995",NA,NA
