"","player_id","year","second_won","second_serve"
"1412",102834,"2002",35,79
"1413",102834,"2001",129,252
"1414",102834,"1993",12,26
"1415",102834,"1999",256,516
"1416",102834,"1994",NA,NA
"1417",102834,"1998",19,44
"1418",102834,"2003",41,75
"1419",102834,"2004",78,163
"1420",102834,"2002",30,47
"1421",102834,"2000",272,461
"1422",102834,"2003",90,161
"1423",102834,"2000",315,621
"1428",102839,"1994",NA,NA
"1430",102839,"2006",185,343
"1431",102839,"2005",NA,NA
"1432",102839,"2007",180,324
"1438",102839,"1995",NA,NA
"1445",102839,"2009",263,499
"1450",102843,"2002",NA,NA
"1454",102843,"2006",NA,NA
"1462",102845,"1999",NA,NA
"1482",102845,"1998",NA,NA
"1484",102845,"2002",355,713
"1500",102851,"2000",18,32
"1501",102854,"2001",NA,NA
"1503",102854,"2005",93,184
"1504",102854,"1995",273,461
"1508",102854,"2005",NA,NA
"1510",102854,"1996",NA,NA
"1514",102854,"2003",NA,NA
"1516",102854,"1997",NA,NA
"1517",102854,"2002",NA,NA
"1518",102856,"1997",NA,NA
"1523",102856,"1998",NA,NA
"1524",102856,"2007",18,27
"1527",102856,"2006",20,34
"1530",102856,"2004",NA,NA
"1537",102860,"1999",62,141
"1544",102860,"2003",NA,NA
"1547",102860,"2005",NA,NA
"1550",102860,"2009",47,87
"1552",102863,"2008",17,40
"1553",102863,"2005",NA,NA
"1558",102863,"2006",24,40
"1559",102863,"2000",10,32
"1562",102863,"1999",158,277
"1566",102863,"2004",NA,NA
"1567",102863,"1998",NA,NA
"1568",102863,"1995",18,38
"1569",102863,"2008",NA,NA
"1570",102863,"1995",NA,NA
"1571",102863,"2009",13,16
"1572",102863,"2006",64,87
"1575",102864,"2003",21,55
"1580",102869,"1996",216,449
"1601",102880,"2002",122,251
"1603",102880,"2000",172,290
"1607",102880,"2002",90,159
"1610",102880,"2001",42,73
"1611",102880,"2005",84,131
"1630",102882,"1994",22,31
"1646",102882,"2003",NA,NA
"1657",102886,"2005",32,66
"1659",102887,"2000",16,27
"1662",102887,"2003",90,152
"1669",102887,"1996",NA,NA
"1672",102887,"2003",NA,NA
"1677",102887,"2006",125,245
"1687",102904,"2001",34,63
"1692",102905,"2010",66,135
"1696",102905,"1996",17,35
"1702",102905,"1998",NA,NA
"1705",102905,"2006",NA,NA
"1707",102905,"2004",NA,NA
"1708",102905,"2003",NA,NA
"1710",102925,"2001",70,117
"1727",102925,"2004",85,148
"1728",102925,"1996",117,206
"1738",102928,"2002",NA,NA
"1739",102928,"2003",NA,NA
"1740",102945,"2005",17,29
"1741",102945,"2007",31,51
"1742",102950,"1996",40,87
"1743",102950,"2006",53,88
"1744",102950,"2007",45,104
"1747",102950,"2000",NA,NA
"1748",102950,"2002",440,783
"1749",102950,"2009",4,12
"1751",102950,"2001",415,707
"1752",102950,"2006",234,456
"1753",102950,"1999",NA,NA
"1754",102950,"1998",NA,NA
"1755",102950,"2008",15,33
"1756",102950,"2004",57,130
"1757",102950,"2003",377,651
"1758",102950,"2005",74,130
