"","player_id","year","first_return","first_won"
"1250",102780,"2002",33,9
"1251",102780,"2009",NA,NA
"1252",102780,"2003",94,21
"1253",102780,"2000",NA,NA
"1254",102780,"2002",NA,NA
"1255",102780,"2004",60,23
"1256",102780,"2009",37,15
"1257",102780,"2008",NA,NA
"1258",102780,"2007",NA,NA
"1259",102780,"1999",NA,NA
"1260",102780,"1998",27,6
"1261",102783,"1998",531,191
"1262",102783,"1999",936,371
"1263",102783,"2007",643,180
"1264",102783,"2008",974,234
"1265",102783,"2006",NA,NA
"1266",102783,"2002",NA,NA
"1267",102783,"1995",50,14
"1268",102783,"2000",NA,NA
"1269",102783,"2010",NA,NA
"1270",102783,"1998",561,130
"1271",102783,"2007",387,127
"1272",102783,"1997",208,87
"1273",102783,"2001",1519,509
"1274",102783,"2005",1083,313
"1275",102783,"2005",NA,NA
"1276",102783,"2011",204,75
"1277",102783,"2011",608,143
"1278",102783,"2008",1211,399
"1279",102783,"2010",898,225
"1280",102783,"2009",NA,NA
"1281",102783,"2003",NA,NA
"1282",102783,"1999",NA,NA
"1283",102783,"1997",62,21
"1284",102783,"2004",NA,NA
"1285",102783,"2001",1457,401
"1286",102785,"2006",28,5
"1287",102785,"2004",279,71
"1288",102785,"2001",126,25
"1289",102785,"1997",98,26
"1290",102785,"1996",69,21
"1291",102785,"2001",159,48
"1292",102785,"2005",87,27
"1293",102785,"1998",106,29
"1294",102785,"2003",37,8
"1295",102785,"2002",46,12
"1296",102785,"1998",66,22
"1297",102785,"2004",371,86
"1298",102785,"2005",123,24
"1299",102785,"2000",29,3
"1300",102785,"1997",123,30
"1301",102788,"2007",35,4
"1302",102788,"2002",NA,NA
"1303",102788,"2005",29,15
"1304",102788,"2003",199,74
"1305",102788,"2008",43,8
"1306",102788,"2004",173,57
"1307",102788,"2005",44,11
"1308",102788,"2004",518,114
"1309",102788,"2008",48,15
"1311",102788,"2002",485,159
"1313",102788,"2006",48,16
"1314",102788,"2006",67,10
"1315",102788,"2001",402,111
"1316",102788,"2001",389,134
"1317",102800,"1996",NA,NA
"1318",102800,"1999",206,45
"1319",102800,"1998",NA,NA
"1320",102800,"2004",NA,NA
"1321",102800,"1999",105,13
"1322",102800,"2001",68,28
"1323",102800,"2013",NA,NA
"1324",102800,"2008",NA,NA
"1325",102800,"2001",NA,NA
"1326",102800,"2002",NA,NA
"1327",102800,"2006",61,13
"1328",102800,"2004",111,27
"1329",102800,"2005",60,10
"1330",102800,"1997",NA,NA
"1331",102800,"2017",NA,NA
"1332",102800,"2005",36,9
"1333",102800,"2007",42,8
"1334",102800,"2003",134,34
"1336",102802,"2005",NA,NA
"1337",102802,"1997",NA,NA
"1338",102802,"2003",NA,NA
"1339",102802,"2002",NA,NA
"1340",102811,"2006",75,22
"1341",102811,"2001",NA,NA
"1342",102811,"1996",NA,NA
"1343",102811,"2003",27,2
"1344",102811,"2007",24,8
"1345",102811,"2008",74,11
"1346",102811,"2004",NA,NA
"1347",102811,"2003",NA,NA
"1348",102811,"2007",264,55
"1349",102811,"1998",NA,NA
"1350",102811,"2005",89,20
"1351",102811,"1999",NA,NA
"1352",102811,"2005",175,65
"1353",102811,"2006",139,42
"1354",102811,"2002",NA,NA
"1355",102811,"2008",73,24
"1356",102812,"2001",NA,NA
"1357",102812,"1998",NA,NA
"1358",102812,"1999",NA,NA
"1359",102812,"1997",NA,NA
"1360",102812,"2008",NA,NA
"1361",102812,"2005",NA,NA
"1362",102812,"2000",NA,NA
"1363",102812,"2003",NA,NA
"1364",102821,"2001",864,243
"1365",102821,"1999",NA,NA
"1366",102821,"2004",43,16
"1367",102821,"2009",NA,NA
"1368",102821,"2000",474,123
"1369",102821,"1996",169,39
"1370",102821,"2003",96,35
"1371",102821,"2000",226,73
"1372",102821,"1999",938,272
"1373",102821,"1997",345,100
"1374",102821,"2005",29,11
"1375",102821,"2010",NA,NA
"1376",102821,"1997",113,38
"1377",102821,"2001",467,157
"1378",102821,"2005",70,13
"1379",102821,"2008",NA,NA
"1380",102821,"1998",38,13
"1381",102821,"2004",124,35
"1382",102821,"2003",604,165
"1383",102821,"2011",NA,NA
"1384",102821,"2002",685,168
"1385",102821,"2007",NA,NA
"1386",102821,"2002",397,140
"1387",102826,"2009",NA,NA
"1388",102826,"1993",NA,NA
"1389",102826,"1998",NA,NA
"1390",102826,"1994",NA,NA
"1391",102826,"1995",NA,NA
"1392",102826,"1999",NA,NA
"1393",102826,"2004",NA,NA
"1394",102830,"1999",NA,NA
"1395",102830,"2000",NA,NA
"1396",102830,"2003",NA,NA
"1397",102830,"2010",NA,NA
"1398",102830,"2004",NA,NA
"1399",102830,"2001",NA,NA
"1400",102834,"2001",192,87
"1401",102834,"2005",568,220
"1402",102834,"1998",175,29
"1403",102834,"1996",59,17
"1404",102834,"2005",618,156
"1405",102834,"1999",675,237
"1406",102834,"2006",659,253
"1407",102834,"2007",395,147
"1408",102834,"2006",909,229
"1409",102834,"2004",197,59
