"player_id","year","matches_won","total_matches"
101962,"2000",37,64
101962,"2010",1,2
101962,"2007",5,8
101962,"1999",29,52
101962,"1991",0,2
101962,"2002",43,70
101962,"1994",19,46
101962,"1990",1,2
101962,"1998",5,7
101962,"2004",0,5
101962,"1993",19,34
101962,"1995",4,12
101962,"2005",1,12
101962,"1997",2,4
101962,"1996",15,37
101962,"2003",38,64
101962,"2006",2,4
101962,"1992",5,7
101962,"2008",6,9
101962,"2001",38,61
101965,"2004",14,31
101965,"1992",48,72
101965,"1999",29,54
101965,"2000",43,65
101965,"1993",44,69
101965,"1997",29,52
101965,"2003",25,44
101965,"1990",2,7
101965,"1998",33,60
101965,"1996",49,77
101965,"2001",18,40
101965,"2005",0,2
101965,"1994",69,95
101965,"2002",24,42
101965,"1995",58,84
101965,"1991",27,49
101979,"1994",3,4
101979,"2008",1,1
101979,"1998",1,3
101979,"2003",0,1
101979,"1995",1,4
101979,"1993",2,4
101979,"1991",0,2
101979,"1992",1,2
101979,"1990",0,1
101979,"1997",3,4
101979,"1996",3,4
102033,"1990",0,1
102033,"1993",1,3
102033,"2004",0,1
102033,"2006",1,2
102033,"2009",0,1
102033,"1996",0,3
102033,"1991",1,2
102033,"2008",0,1
102033,"2007",0,1
102035,"2006",13,32
102035,"2001",24,51
102035,"2000",30,55
102035,"2003",32,53
102035,"2005",20,41
102035,"2002",20,42
102035,"2007",18,40
102035,"1996",27,53
102035,"2008",8,22
102035,"2004",21,47
102035,"1993",6,14
102035,"1999",24,47
102035,"1991",0,1
102035,"1994",31,57
102035,"1998",38,65
102035,"1997",69,94
102035,"1992",0,1
102035,"1995",35,63
102093,"2024",2,3
102106,"1995",0,3
102106,"2007",5,13
102106,"1994",0,2
102106,"2004",11,31
102106,"2000",18,41
102106,"2003",18,41
102106,"1998",33,63
102106,"1999",10,35
102106,"2006",11,36
102106,"2001",10,37
102106,"2002",24,46
102106,"2005",25,50
102106,"1997",5,16
102107,"2000",2,4
102107,"2001",4,7
102107,"2004",4,6
102107,"1997",4,4
102107,"1998",1,4
102107,"1996",1,2
102107,"2005",3,4
102107,"2006",2,2
102107,"2003",1,6
102107,"1999",2,5
102107,"2002",3,5
102110,"1996",11,26
102110,"1991",1,3
102110,"2003",3,4
102110,"2001",3,9
102110,"1993",2,7
102110,"1999",18,35
102110,"1997",12,31
102110,"1995",4,10
102110,"2005",0,1
102110,"1998",12,31
102110,"1989",0,1
102110,"2002",2,4
102110,"2006",0,1
102110,"1992",2,8
102110,"2000",8,17
102110,"1994",8,16
102110,"2004",0,1
102143,"2003",6,10
102143,"2005",1,3
102143,"2002",2,6
102143,"1997",0,2
102143,"2001",2,7
102143,"2006",0,2
102143,"2004",1,5
102143,"2000",2,4
102148,"2010",0,1
102148,"2001",38,66
102148,"2006",19,42
102148,"1997",32,56
102148,"1998",29,57
102148,"1996",6,18
102148,"2000",34,61
102148,"2009",15,35
102148,"1993",24,52
102148,"2005",18,37
