"player_id","year","second_return","second_won"
103582,"2011",970,396
103582,"2012",424,169
103582,"2004",NA,NA
103582,"2006",449,175
103582,"2008",NA,NA
103582,"2009",427,204
103656,"2005",790,365
103656,"2010",NA,NA
103656,"2007",NA,NA
103656,"2006",730,330
103656,"2008",1249,565
103656,"2012",543,217
103656,"2004",681,293
103656,"2014",730,311
103656,"2003",621,273
103656,"2017",39,15
103656,"2001",635,311
103656,"2011",1356,612
103656,"2002",1117,483
103656,"2009",NA,NA
103656,"2013",914,384
103656,"2015",416,175
103656,"2016",361,143
103675,"2006",124,59
103675,"2007",NA,NA
103675,"2009",495,205
103675,"2008",72,31
103675,"2010",NA,NA
103675,"2012",67,25
103675,"2011",158,65
103693,"2010",NA,NA
103693,"2006",234,95
103693,"2003",169,76
103693,"2008",261,103
103693,"2009",113,43
103693,"2007",206,98
103693,"2005",177,74
103693,"2002",NA,NA
103693,"2004",NA,NA
103700,"2002",NA,NA
103700,"2004",108,54
103700,"2007",NA,NA
103700,"2006",148,60
103700,"2005",75,34
103701,"2008",235,118
103701,"2007",NA,NA
103701,"2006",130,55
103702,"2006",33,13
103722,"2011",368,160
103722,"2010",1286,564
103722,"2004",179,88
103722,"2009",1466,657
103722,"2003",NA,NA
103722,"2014",NA,NA
103722,"2006",1296,585
103722,"2005",602,287
103722,"2007",NA,NA
103722,"2013",NA,NA
103722,"2002",NA,NA
103722,"2012",340,136
103722,"2008",1204,534
103737,"2005",111,44
103737,"2006",299,129
103737,"2002",NA,NA
103737,"2003",46,15
103747,"2009",NA,NA
103747,"2011",NA,NA
103747,"2008",105,48
103747,"2006",26,6
103747,"2007",131,63
103747,"2010",50,22
103761,"2004",53,20
103761,"2007",84,45
103761,"2008",NA,NA
103761,"2006",NA,NA
103761,"2005",97,43
103763,"2008",97,43
103794,"2007",NA,NA
103794,"2006",573,247
103794,"2011",347,137
103794,"2008",779,307
103794,"2015",NA,NA
103794,"2010",NA,NA
103794,"2016",707,281
103794,"2014",1327,580
103794,"2012",698,303
103794,"2013",876,361
103794,"2017",NA,NA
103794,"2009",764,291
103823,"2006",478,200
103823,"2009",266,104
103823,"2008",NA,NA
103823,"2012",27,14
103823,"2011",328,127
103823,"2002",NA,NA
103823,"2007",NA,NA
103823,"2005",96,44
103850,"2008",114,41
103850,"2009",80,41
103850,"2011",NA,NA
103868,"2008",526,199
103868,"2006",219,86
103868,"2007",NA,NA
103868,"2011",76,25
103868,"2010",209,66
103868,"2004",NA,NA
103868,"2005",109,49
103868,"2009",812,334
103868,"2012",43,13
103893,"2014",640,291
103893,"2017",NA,NA
103893,"2011",104,50
103893,"2010",NA,NA
103893,"2016",1414,625
103893,"2015",NA,NA
103893,"2007",53,20
103893,"2012",705,318
103893,"2013",NA,NA
103893,"2019",523,201
103893,"2006",NA,NA
103893,"2009",NA,NA
103893,"2021",NA,NA
103893,"2018",631,259
103893,"2020",105,44
103898,"2004",798,360
103898,"2018",694,317
103898,"2006",1372,596
103898,"2014",NA,NA
103898,"2009",1493,671
103898,"2002",NA,NA
103898,"2013",NA,NA
103898,"2001",62,35
103898,"2016",681,305
103898,"2008",NA,NA
103898,"2015",134,47
103898,"2017",784,346
103898,"2005",527,233
103898,"2003",224,103
103898,"2011",1136,490
103898,"2012",NA,NA
103898,"2010",NA,NA
103898,"2007",1403,626
103917,"2019",243,106
103917,"2006",767,278
103917,"2010",358,125
103917,"2011",NA,NA
103917,"2016",1179,506
103917,"2017",937,376
103917,"2003",247,106
103917,"2018",382,146
103917,"2021",NA,NA
103917,"2009",215,88
103917,"2012",1024,422
103917,"2007",1212,514
103917,"2001",186,68
103917,"2015",NA,NA
103917,"2002",NA,NA
103917,"2005",148,58
103917,"2000",NA,NA
103917,"2008",1119,437
103917,"2013",712,292
103917,"2004",NA,NA
103917,"2014",869,344
104023,"2011",61,23
104025,"2006",157,55
104025,"2008",382,162
104025,"2012",NA,NA
104025,"2005",143,49
104025,"2004",186,62
104025,"2009",294,107
104025,"2011",NA,NA
104025,"2010",NA,NA
104025,"2003",134,38
104025,"2007",900,342
104035,"2010",NA,NA
104035,"2012",275,119
104035,"2005",385,155
104035,"2008",971,416
104035,"2006",347,147
104035,"2011",NA,NA
104035,"2013",215,84
104035,"2004",NA,NA
104035,"2007",NA,NA
104035,"2009",408,142
104035,"2003",NA,NA
104043,"2016",NA,NA
104043,"2010",NA,NA
104043,"2008",83,35
104043,"2005",145,67
104043,"2007",NA,NA
104043,"2001",187,89
104043,"2013",NA,NA
104043,"2014",NA,NA
104043,"2003",163,66
104043,"2004",446,209
104043,"2002",85,33
104068,"2003",NA,NA
104068,"2002",466,189
104068,"2011",180,76
104068,"2005",1724,793
104068,"2010",687,302
104068,"2006",NA,NA
104068,"2008",NA,NA
104068,"2007",887,401
104068,"2013",91,35
104068,"2009",951,405
104068,"2014",280,109
104068,"2001",230,109
104068,"2004",NA,NA
104068,"2012",200,84
104091,"2008",120,55
104149,"2008",53,14
104166,"2001",NA,NA
104166,"2003",404,178
104166,"2012",NA,NA
104166,"2011",1447,666
104166,"2009",130,48
104166,"2005",NA,NA
104166,"2008",NA,NA
104166,"2004",660,295
104166,"2013",NA,NA
104166,"2006",151,66
104166,"2010",NA,NA
104166,"2014",220,105
104166,"2002",91,44
104167,"2009",131,60
104167,"2004",NA,NA
104167,"2005",67,36
104167,"2006",48,24
104173,"2006",87,39
104173,"2007",75,36
104173,"2008",236,103
104196,"2001",35,18
104196,"2002",NA,NA
104196,"2006",130,55
104198,"2014",1558,712
104198,"2009",1469,693
104198,"2008",NA,NA
104198,"2013",NA,NA
104198,"2016",1517,656
104198,"2010",1512,713
104198,"2017",534,227
104198,"2004",333,154
104198,"2018",1268,571
104198,"2011",1385,657
104198,"2005",1177,518
104198,"2019",373,146
104198,"2007",1072,461
104198,"2006",993,440
104198,"2015",NA,NA
104198,"2012",1379,594
104198,"2003",NA,NA
104216,"2009",NA,NA
104216,"2013",71,28
104216,"2015",NA,NA
104216,"2008",266,120
104216,"2014",258,127
104216,"2016",201,92
104216,"2011",436,172
104216,"2012",NA,NA
104216,"2010",368,174
104216,"2007",NA,NA
104216,"2017",63,29
104224,"2005",46,16
104224,"2006",41,14
104230,"2008",45,18
104230,"2009",719,308
104230,"2007",72,39
104230,"2003",NA,NA
104230,"2005",123,51
104230,"2010",NA,NA
104230,"2004",125,58
104256,"2012",44,18
104262,"2006",NA,NA
104262,"2011",421,189
104262,"2012",1086,505
104262,"2009",NA,NA
104262,"2010",NA,NA
104262,"2008",448,214
104262,"2013",246,97
104262,"2007",61,35
104269,"2022",408,169
104269,"2017",1555,743
104269,"2002",65,28
104269,"2007",NA,NA
104269,"2008",NA,NA
104269,"2015",1540,666
104269,"2014",1409,621
104269,"2004",1447,631
104269,"2019",1478,670
104269,"2016",1439,620
104269,"2020",326,150
104269,"2023",NA,NA
104269,"2005",NA,NA
104269,"2012",1477,658
104269,"2010",NA,NA
104269,"2011",NA,NA
104269,"2018",1755,811
104269,"2006",NA,NA
104269,"2021",242,91
104269,"2013",NA,NA
104269,"2003",NA,NA
104269,"2009",NA,NA
104273,"2011",570,266
104273,"2009",156,70
104273,"2007",387,153
104273,"2013",1505,644
104273,"2010",240,105
104273,"2008",133,47
104273,"2004",91,34
104273,"2012",1073,469
104273,"2015",539,202
104273,"2014",1281,554
104273,"2016",147,65
104291,"2017",1133,507
104291,"2011",NA,NA
104291,"2023",NA,NA
104291,"2015",898,367
104291,"2019",509,199
104291,"2022",80,26
104291,"2012",464,198
104291,"2003",NA,NA
104291,"2004",NA,NA
104291,"2021",130,56
104291,"2014",422,174
104291,"2016",1180,485
104291,"2013",NA,NA
104291,"2020",NA,NA
104291,"2018",1210,534
104291,"2008",NA,NA
104314,"2009",371,151
104314,"2011",295,124
104314,"2008",175,80
104314,"2010",228,86
104330,"2012",399,157
104330,"2016",NA,NA
104330,"2009",398,144
104330,"2006",NA,NA
104330,"2004",115,41
104330,"2005",124,55
104330,"2003",36,17
104330,"2011",117,39
104330,"2013",482,200
104330,"2007",85,31
104330,"2008",123,55
104330,"2002",NA,NA
104330,"2010",577,190
104330,"2017",116,42
104330,"2014",265,93
104330,"2015",396,151
104332,"2007",NA,NA
104332,"2009",1208,472
104332,"2012",NA,NA
104332,"2014",94,37
104332,"2013",212,79
104332,"2008",546,247
104332,"2003",138,46
104332,"2011",NA,NA
104332,"2010",1059,466
104332,"2005",NA,NA
104332,"2004",40,12
104460,"2013",217,96
104460,"2011",375,135
104460,"2015",NA,NA
104460,"2003",NA,NA
104460,"2017",701,244
104460,"2018",NA,NA
104460,"2016",683,265
104460,"2019",81,31
104460,"2014",686,297
104460,"2010",459,177
104460,"2021",NA,NA
104460,"2012",273,85
104515,"2008",86,41
104515,"2007",187,79
104515,"2009",57,24
104515,"2006",77,40
104547,"2016",460,172
104547,"2009",249,109
104547,"2012",319,132
104547,"2015",149,60
104547,"2014",353,140
104547,"2018",680,265
104547,"2017",1165,496
104547,"2013",NA,NA
104547,"2011",314,121
104547,"2010",NA,NA
104548,"2012",787,364
104548,"2004",208,85
104548,"2002",NA,NA
104548,"2016",358,133
104548,"2005",167,68
104548,"2013",227,101
104548,"2003",NA,NA
104593,"2012",463,199
104593,"2015",839,367
104593,"2016",437,184
104593,"2009",703,283
104593,"2011",906,404
104593,"2018",NA,NA
104593,"2005",NA,NA
104593,"2014",757,315
104593,"2006",127,58
104593,"2010",1105,430
104593,"2004",NA,NA
104593,"2013",1097,468
104593,"2017",NA,NA
104593,"2008",334,152
104628,"2014",108,40
104628,"2013",40,22
104628,"2010",NA,NA
104628,"2016",NA,NA
104628,"2012",NA,NA
104628,"2011",41,15
104628,"2015",NA,NA
104628,"2007",72,28
104628,"2008",163,67
104629,"2015",171,65
104629,"2012",NA,NA
104629,"2018",153,66
104629,"2013",NA,NA
104629,"2019",86,35
104629,"2017",158,68
104633,"2011",58,28
104651,"2014",87,31
104651,"2013",368,140
104665,"2014",NA,NA
104665,"2018",407,197
104665,"2023",NA,NA
104665,"2016",227,112
104665,"2019",NA,NA
104665,"2008",263,122
104665,"2015",NA,NA
104665,"2020",428,205
104665,"2021",NA,NA
104665,"2012",1556,745
104665,"2013",1369,635
104665,"2007",154,71
104665,"2009",393,163
104665,"2011",1261,566
104665,"2010",457,224
104665,"2022",553,254
104672,"2018",63,25
104672,"2009",NA,NA
104672,"2011",NA,NA
104672,"2016",221,114
104672,"2017",251,105
104672,"2014",110,55
104672,"2012",33,16
104672,"2015",NA,NA
104714,"2012",60,27
104714,"2010",336,149
104714,"2006",NA,NA
104714,"2015",83,37
104714,"2011",218,95
104714,"2007",NA,NA
104714,"2013",326,126
104714,"2014",310,138
104717,"2004",NA,NA
104717,"2005",NA,NA
104717,"2009",198,68
104717,"2010",96,37
104717,"2008",187,55
104719,"2007",110,51
104719,"2006",NA,NA
104719,"2008",921,383
104719,"2017",574,241
104719,"2014",1393,609
104719,"2015",915,401
104719,"2019",498,218
104719,"2011",1268,559
104719,"2016",NA,NA
104719,"2018",220,79
104719,"2013",NA,NA
104719,"2010",1148,520
104719,"2009",1206,507
104719,"2012",NA,NA
104721,"2010",168,64
104721,"2013",NA,NA
104721,"2009",299,126
104721,"2008",172,61
104731,"2016",1020,417
104731,"2009",218,84
104731,"2012",NA,NA
104731,"2022",136,45
104731,"2015",2209,904
104731,"2007",NA,NA
104731,"2013",1853,786
104731,"2014",NA,NA
104731,"2018",NA,NA
104731,"2020",561,212
104731,"2019",332,145
104731,"2008",NA,NA
104731,"2017",1520,629
104731,"2011",NA,NA
104731,"2010",945,389
104731,"2021",730,273
104731,"2023",110,51
104735,"2013",NA,NA
104735,"2010",465,225
104735,"2008",NA,NA
104735,"2019",NA,NA
104735,"2016",250,120
104735,"2007",NA,NA
104735,"2017",109,53
104735,"2011",938,421
104735,"2014",NA,NA
104735,"2015",171,90
104735,"2012",759,355
104812,"2009",62,22
104812,"2005",183,71
104812,"2007",116,50
104812,"2008",NA,NA
104812,"2006",133,54
104812,"2004",NA,NA
104851,"2013",NA,NA
104851,"2006",16,5
104851,"2008",230,106
104851,"2011",55,22
104851,"2005",NA,NA
104871,"2017",NA,NA
104871,"2012",1211,515
104871,"2019",1381,586
104871,"2023",135,61
104871,"2016",1088,476
104871,"2013",1467,639
104871,"2015",1556,691
104871,"2008",649,259
104871,"2020",202,98
104871,"2010",1438,596
104871,"2006",106,45
104871,"2007",NA,NA
104871,"2009",NA,NA
104871,"2014",1593,709
104871,"2011",NA,NA
104871,"2018",1346,565
104871,"2021",NA,NA
104897,"2015",205,100
104897,"2007",69,23
104897,"2014",169,70
104897,"2013",146,60
104897,"2008",NA,NA
104897,"2021",NA,NA
104897,"2012",706,308
104897,"2016",NA,NA
104897,"2018",239,105
104897,"2011",391,151
104897,"2019",212,95
104897,"2010",99,46
104932,"2015",385,154
104932,"2014",602,213
104932,"2018",NA,NA
104932,"2016",167,68
104932,"2017",235,106
104932,"2013",NA,NA
104932,"2011",NA,NA
104932,"2012",127,47
104948,"2010",39,18
104976,"2011",911,423
104976,"2009",245,110
104976,"2005",NA,NA
104976,"2007",176,67
104976,"2012",474,215
104976,"2013",NA,NA
104976,"2006",117,51
104976,"2008",74,31
104976,"2010",400,182
104978,"2010",769,285
104978,"2007",42,8
104978,"2011",309,111
104978,"2017",136,37
104978,"2019",51,21
104978,"2015",77,36
104978,"2013",NA,NA
104978,"2012",432,174
104978,"2018",NA,NA
104978,"2009",366,154
104978,"2008",142,53
104978,"2014",NA,NA
104978,"2016",207,87
104999,"2015",445,193
104999,"2013",219,94
104999,"2017",1634,642
104999,"2021",NA,NA
104999,"2011",516,188
104999,"2010",NA,NA
104999,"2016",681,297
104999,"2012",NA,NA
104999,"2018",1341,576
104999,"2006",166,68
104999,"2008",NA,NA
104999,"2007",407,181
104999,"2019",321,96
104999,"2009",1038,459
104999,"2020",66,24
105023,"2006",481,181
105023,"2016",1539,591
105023,"2009",NA,NA
105023,"2022",319,108
105023,"2011",716,296
105023,"2018",1376,561
105023,"2013",NA,NA
105023,"2010",NA,NA
105023,"2017",NA,NA
105023,"2007",1168,458
105023,"2014",NA,NA
105023,"2012",NA,NA
105023,"2008",NA,NA
105023,"2019",1112,458
105023,"2021",NA,NA
105023,"2020",312,117
105023,"2015",1179,429
105028,"2013",592,245
105028,"2008",NA,NA
105028,"2010",153,64
105028,"2011",NA,NA
105028,"2006",NA,NA
105028,"2007",104,42
105028,"2012",677,299
105028,"2009",454,215
105032,"2015",NA,NA
105032,"2016",502,160
105032,"2008",59,22
105032,"2009",92,30
105032,"2014",NA,NA
105032,"2013",179,63
105032,"2017",159,58
105051,"2016",NA,NA
105051,"2012",NA,NA
105051,"2013",NA,NA
105051,"2024",NA,NA
105051,"2017",474,213
105051,"2021",264,115
105051,"2019",557,227
105051,"2010",64,21
105051,"2014",565,220
105051,"2022",NA,NA
105051,"2011",467,195
105051,"2015",221,94
105051,"2018",1178,496
105065,"2017",253,102
105065,"2015",504,193
105065,"2014",436,185
105065,"2010",151,72
105065,"2012",298,135
105065,"2016",537,218
105065,"2018",545,239
105065,"2013",678,301
105065,"2011",258,108
105065,"2008",NA,NA
105065,"2019",84,30
105077,"2017",2025,905
105077,"2018",1408,618
105077,"2021",1412,673
105077,"2011",854,399
105077,"2016",1963,868
105077,"2012",NA,NA
105077,"2020",656,277
105077,"2023",1073,487
105077,"2024",264,116
105077,"2022",NA,NA
105077,"2015",1058,448
105077,"2010",138,68
105077,"2019",1290,580
105077,"2013",NA,NA
105077,"2014",792,359
105113,"2017",96,35
105113,"2012",48,22
105113,"2014",NA,NA
105128,"2011",50,23
105128,"2013",64,26
105137,"2007",49,20
105137,"2015",NA,NA
105137,"2016",NA,NA
105137,"2010",559,246
105137,"2012",170,69
105137,"2013",NA,NA
105137,"2011",708,308
105137,"2009",162,69
105137,"2014",NA,NA
105154,"2010",138,51
105154,"2014",114,46
105154,"2017",97,31
105154,"2015",NA,NA
105154,"2016",65,21
105154,"2013",105,31
105154,"2011",394,162
105154,"2012",NA,NA
105173,"2015",NA,NA
105173,"2014",1099,504
105173,"2023",NA,NA
105173,"2022",NA,NA
105173,"2020",870,391
105173,"2016",1516,671
105173,"2008",149,65
105173,"2011",1096,468
105173,"2019",1363,621
105173,"2021",975,380
105173,"2024",NA,NA
105173,"2010",164,74
105173,"2018",1551,684
105173,"2017",1783,830
105173,"2013",727,322
105173,"2009",NA,NA
105173,"2012",184,74
105181,"2017",67,23
105332,"2014",764,337
105332,"2016",1648,706
105332,"2010",206,82
105332,"2024",145,74
105332,"2023",NA,NA
105332,"2018",1629,706
105332,"2013",1586,697
105332,"2019",1643,698
105332,"2011",414,190
105332,"2012",1590,718
105332,"2020",655,295
105332,"2021",1066,440
105332,"2017",1521,641
105332,"2015",1130,497
105332,"2022",676,271
105357,"2016",1248,563
105357,"2019",1195,550
105357,"2010",NA,NA
105357,"2011",NA,NA
105357,"2022",680,286
105357,"2023",134,55
105357,"2015",421,191
105357,"2012",65,35
105357,"2018",1246,580
105357,"2017",341,151
105357,"2020",960,448
105357,"2013",142,56
105357,"2021",NA,NA
105359,"2017",NA,NA
105359,"2022",NA,NA
105359,"2023",72,28
105359,"2018",125,51
105359,"2021",136,53
105359,"2020",211,88
105359,"2019",NA,NA
105376,"2010",NA,NA
105376,"2018",1224,529
105376,"2019",820,348
105376,"2012",NA,NA
105376,"2017",608,261
105376,"2013",233,115
105376,"2015",105,47
105376,"2014",NA,NA
105376,"2022",NA,NA
105376,"2021",635,285
105376,"2016",79,27
105376,"2020",126,47
105379,"2013",780,346
105379,"2017",1031,439
105379,"2012",NA,NA
105379,"2015",957,422
105379,"2018",NA,NA
105379,"2014",319,130
105379,"2020",651,262
105379,"2010",NA,NA
105379,"2011",NA,NA
105379,"2022",NA,NA
105379,"2016",994,421
105379,"2019",NA,NA
105379,"2021",858,369
105406,"2021",55,26
105406,"2017",NA,NA
105406,"2020",80,33
105430,"2009",NA,NA
