"player_id","year","double_fault","service_points"
103893,"2012",54,2000
103893,"2013",NA,NA
103893,"2019",51,1554
103893,"2006",NA,NA
103893,"2009",NA,NA
103893,"2021",NA,NA
103893,"2018",73,1958
103893,"2020",15,344
103898,"2004",95,2185
103898,"2018",114,1815
103898,"2006",144,3833
103898,"2014",NA,NA
103898,"2009",175,4412
103898,"2002",NA,NA
103898,"2013",NA,NA
103898,"2001",3,153
103898,"2016",64,1706
103898,"2008",NA,NA
103898,"2015",10,355
103898,"2017",110,2009
103898,"2005",65,1626
103898,"2003",28,660
103898,"2011",139,3260
103898,"2012",NA,NA
103898,"2010",NA,NA
103898,"2007",162,3790
103917,"2019",19,819
103917,"2006",102,2193
103917,"2010",51,1243
103917,"2011",NA,NA
103917,"2016",113,3249
103917,"2017",94,2768
103917,"2003",47,772
103917,"2018",48,1063
103917,"2021",NA,NA
103917,"2009",21,594
103917,"2012",92,2941
103917,"2007",210,3417
103917,"2001",20,462
103917,"2015",NA,NA
103917,"2002",NA,NA
103917,"2005",20,419
103917,"2000",NA,NA
103917,"2008",169,3379
103917,"2013",89,1884
103917,"2004",NA,NA
103917,"2014",114,2592
104023,"2011",2,136
104025,"2006",22,439
104025,"2008",50,1254
104025,"2012",NA,NA
104025,"2005",13,354
104025,"2004",34,512
104025,"2009",31,917
104025,"2011",NA,NA
104025,"2010",NA,NA
104025,"2003",17,440
104025,"2007",70,2598
104035,"2010",NA,NA
104035,"2012",22,871
104035,"2005",54,1097
104035,"2008",102,2907
104035,"2006",58,943
104035,"2011",NA,NA
104035,"2013",25,565
104035,"2004",NA,NA
104035,"2007",NA,NA
104035,"2009",51,1196
104035,"2003",NA,NA
104043,"2016",NA,NA
104043,"2010",NA,NA
104043,"2008",1,253
104043,"2005",6,380
104043,"2007",NA,NA
104043,"2001",5,544
104043,"2013",NA,NA
104043,"2014",NA,NA
104043,"2003",14,537
104043,"2004",24,1518
104043,"2002",13,318
104068,"2003",NA,NA
104068,"2002",79,1297
104068,"2011",13,506
104068,"2005",105,4470
104068,"2010",43,2032
104068,"2006",NA,NA
104068,"2008",NA,NA
104068,"2007",57,2652
104068,"2013",11,268
104068,"2009",68,2769
104068,"2014",28,763
104068,"2001",40,683
104068,"2004",NA,NA
104068,"2012",17,510
104091,"2008",5,295
104149,"2008",3,160
104166,"2001",NA,NA
104166,"2003",42,1027
104166,"2012",NA,NA
104166,"2011",134,3873
104166,"2009",10,367
104166,"2005",NA,NA
104166,"2008",NA,NA
104166,"2004",74,1964
104166,"2013",NA,NA
104166,"2006",23,464
104166,"2010",NA,NA
104166,"2014",28,648
104166,"2002",7,278
104167,"2009",8,461
104167,"2004",NA,NA
104167,"2005",6,193
104167,"2006",7,158
104173,"2006",7,209
104173,"2007",9,212
104173,"2008",29,749
104196,"2001",2,94
104196,"2002",NA,NA
104196,"2006",9,359
104198,"2014",190,4214
104198,"2009",259,4026
104198,"2008",NA,NA
104198,"2013",NA,NA
104198,"2016",207,4201
104198,"2010",185,4232
104198,"2017",87,1519
104198,"2004",32,914
104198,"2018",182,3290
104198,"2011",231,3893
104198,"2005",155,3340
104198,"2019",42,1149
104198,"2007",98,2917
104198,"2006",126,2869
104198,"2015",NA,NA
104198,"2012",187,3746
104198,"2003",NA,NA
104216,"2009",NA,NA
104216,"2013",8,198
104216,"2015",NA,NA
104216,"2008",25,815
104216,"2014",16,644
104216,"2016",27,509
104216,"2011",36,1336
104216,"2012",NA,NA
104216,"2010",22,909
104216,"2007",NA,NA
104216,"2017",7,229
104224,"2005",9,174
104224,"2006",7,130
104230,"2008",7,195
104230,"2009",50,2210
104230,"2007",7,134
104230,"2003",NA,NA
104230,"2005",3,276
104230,"2010",NA,NA
104230,"2004",4,265
104256,"2012",3,178
104262,"2006",NA,NA
104262,"2011",54,1185
104262,"2012",130,2962
104262,"2009",NA,NA
104262,"2010",NA,NA
104262,"2008",58,1170
104262,"2013",39,675
104262,"2007",9,177
104269,"2022",46,1352
104269,"2017",185,4231
104269,"2002",19,213
104269,"2007",NA,NA
104269,"2008",NA,NA
104269,"2015",205,4364
104269,"2014",211,3993
104269,"2004",177,3985
104269,"2019",194,4432
104269,"2016",215,4264
104269,"2020",34,975
104269,"2023",NA,NA
104269,"2005",NA,NA
104269,"2012",206,4010
104269,"2010",NA,NA
104269,"2011",NA,NA
104269,"2018",259,5021
104269,"2006",NA,NA
104269,"2021",32,743
104269,"2013",NA,NA
104269,"2003",NA,NA
104269,"2009",NA,NA
104273,"2011",43,1464
104273,"2009",7,461
104273,"2007",32,1112
104273,"2013",132,4185
104273,"2010",31,744
104273,"2008",15,505
104273,"2004",6,197
104273,"2012",90,2956
104273,"2015",40,1419
104273,"2014",104,3766
104273,"2016",11,449
104291,"2017",136,3029
104291,"2011",NA,NA
104291,"2023",NA,NA
104291,"2015",95,2640
104291,"2019",75,1782
104291,"2022",6,286
104291,"2012",48,1469
104291,"2003",NA,NA
104291,"2004",NA,NA
104291,"2021",10,377
104291,"2014",53,1378
104291,"2016",133,3553
104291,"2013",NA,NA
104291,"2020",NA,NA
104291,"2018",140,3655
104291,"2008",NA,NA
104314,"2009",31,1178
104314,"2011",23,675
104314,"2008",6,577
104314,"2010",11,573
104330,"2012",41,1114
104330,"2016",NA,NA
104330,"2009",37,1120
104330,"2006",NA,NA
104330,"2004",20,308
104330,"2005",15,411
104330,"2003",14,109
104330,"2011",10,323
104330,"2013",38,1297
104330,"2007",7,215
104330,"2008",6,373
104330,"2002",NA,NA
104330,"2010",79,1827
104330,"2017",17,250
104330,"2014",28,745
104330,"2015",31,1189
104332,"2007",NA,NA
104332,"2009",159,3469
104332,"2012",NA,NA
104332,"2014",12,242
104332,"2013",20,529
104332,"2008",72,1505
104332,"2003",22,313
104332,"2011",NA,NA
104332,"2010",98,3216
