"","player_id","year","matches_won","total_matches"
"364",101932,"1993",9,23
"365",101932,"1994",28,48
"366",101932,"1995",18,38
"367",101932,"1998",0,3
"368",101937,"1996",1,4
"369",101937,"1992",2,6
"370",101937,"1994",0,2
"371",101937,"2001",0,1
"372",101937,"1993",0,1
"373",101956,"1999",2,7
"374",101956,"1992",4,6
"375",101956,"1995",4,11
"376",101956,"1994",2,11
"377",101956,"1998",4,8
"378",101956,"2001",1,4
"379",101956,"2000",0,5
"380",101956,"1988",0,1
"381",101956,"1993",6,11
"382",101956,"2003",0,1
"383",101956,"2002",2,4
"384",101956,"1989",5,9
"385",101956,"1991",2,5
"386",101956,"1997",1,9
"387",101956,"1996",13,31
"388",101962,"1994",19,46
"389",101962,"2010",1,2
"390",101962,"1997",2,4
"391",101962,"1995",4,12
"392",101962,"2007",5,8
"393",101962,"1998",5,7
"394",101962,"1999",29,52
"395",101962,"1992",5,7
"396",101962,"1996",15,37
"397",101962,"2000",37,64
"398",101962,"2003",38,64
"399",101962,"1990",1,2
"400",101962,"2006",2,4
"401",101962,"2004",0,5
"402",101962,"2005",1,12
"403",101962,"2002",43,70
"404",101962,"2001",38,61
"405",101962,"1991",0,2
"406",101962,"2008",6,9
"407",101962,"1993",19,34
"408",101964,"1999",22,48
"409",101964,"1994",65,92
"410",101964,"2000",14,36
"411",101964,"2001",31,54
"412",101964,"1988",1,5
"413",101964,"1998",44,72
"414",101964,"1996",77,103
"415",101964,"1992",56,75
"416",101964,"1993",54,75
"417",101964,"1997",56,78
"418",101964,"2002",5,11
"419",101964,"1995",47,71
"420",101964,"1989",31,57
"421",101964,"1991",46,69
"422",101964,"1990",51,74
"423",101964,"2004",4,14
"424",101964,"2003",0,3
"425",101965,"2002",24,42
"426",101965,"2003",25,44
"427",101965,"2000",43,65
"428",101965,"1990",2,7
"429",101965,"1994",69,95
"430",101965,"1997",29,52
"431",101965,"1992",48,72
"432",101965,"2005",0,2
"433",101965,"1998",33,60
"434",101965,"1999",29,54
"435",101965,"1991",27,49
"436",101965,"2004",14,31
"437",101965,"2001",18,40
"438",101965,"1993",44,69
"439",101965,"1996",49,77
"440",101965,"1995",58,84
"441",101979,"1997",3,4
"442",101979,"2003",0,1
"443",101979,"1991",0,2
"444",101979,"2008",1,1
"445",101979,"1990",0,1
"446",101979,"1996",3,4
"447",101979,"1995",1,4
"448",101979,"1993",2,4
"449",101979,"1994",3,4
"450",101979,"1998",1,3
"451",101979,"1992",1,2
"452",102023,"2000",0,2
"453",102023,"1999",1,6
"454",102023,"2002",0,1
"455",102023,"1995",0,1
"456",102023,"1996",0,2
"457",102023,"1998",0,3
"458",102023,"1997",0,2
"459",102023,"2003",0,3
"460",102023,"2001",0,1
"461",102025,"1998",20,42
"462",102025,"1994",4,6
"463",102025,"1992",7,11
"464",102025,"1995",4,7
"465",102025,"2000",21,41
"466",102025,"1997",15,36
"467",102025,"1993",0,3
"468",102025,"1999",15,33
"469",102025,"1996",27,47
"470",102033,"2007",0,1
"471",102033,"1990",0,1
"472",102033,"2006",1,2
"473",102033,"2008",0,1
"474",102033,"2009",0,1
"475",102033,"1991",1,2
"476",102033,"1996",0,3
"477",102033,"1993",1,3
"478",102033,"2004",0,1
"479",102035,"2002",20,42
"480",102035,"1992",0,1
"481",102035,"1994",31,57
"482",102035,"1991",0,1
"483",102035,"1995",35,63
"484",102035,"2000",30,55
"485",102035,"1997",69,94
"486",102035,"2003",32,53
"487",102035,"1998",38,65
"488",102035,"1999",24,47
"489",102035,"2007",18,40
"490",102035,"2008",8,22
"491",102035,"2006",13,32
"492",102035,"1993",6,14
"493",102035,"2004",21,47
"494",102035,"2001",24,51
