player_id,player_name,rating
207686,Alexander Shevchenko,1607.9823877044687
208014,Rinky Hijikata,1606.558622755963
103813,Jarkko Nieminen,1605.4853799651141
200059,Yibing Wu,1605.095913959719
105357,John Millman,1604.6993267501073
111794,Kamil Majchrzak,1603.4630792753144
111577,Jared Donaldson,1602.5063064379056
103401,Jan Hernych,1602.3425133758951
103600,Mohammad Ghareeb,1601.7706987998154
102863,Takao Suzuki,1601.334587881812
105732,Pierre Hugues Herbert,1600.5267397289201
111456,Mackenzie Mcdonald,1600.5207801803804
125802,Ilya Ivashka,1600.512245097272
103828,Jean Julien Rojer,1598.0043071179862
144895,Corentin Moutet,1597.6949443032202
200436,Zsombor Piros,1595.2273525398366
106175,Ricardo Rodriguez,1595.1041556244554
106058,Jack Sock,1595.078672362695
