"","player_id","name_first","name_last","hand","dob","ioc","height"
"3572",103248,"Harel","Levy","R",19780805,"ISR",185
"3578",103252,"Alberto","Martin","R",19780820,"ESP",175
"3640",103254,"Yves","Allegro","R",19780824,"SUI",183
"3642",103264,"Mariano","Puerta","L",19780919,"ARG",180
"3679",103285,"Radek","Stepanek","R",19781127,"CZE",185
"3989",103286,"Yohny","Romero","R",19781130,"VEN",NA
"3994",103292,"Gaston","Gaudio","R",19781209,"ARG",175
"4083",103294,"Christophe","Rochus","R",19781215,"BEL",170
"4139",103296,"Ivaylo","Traykov","R",19781217,"BUL",188
"4141",103305,"Daniel","Elsner","R",19790104,"GER",183
"4142",103316,"Victor","Romero","R",19790126,"MEX",NA
"4143",103319,"Jeff","Morrison","R",19790204,"USA",185
"4149",103325,"Wesley","Moodie","R",19790214,"RSA",196
"4186",103333,"Ivo","Karlovic","R",19790228,"CRO",208
"4529",103339,"Wesley","Whitehouse","L",19790313,"RSA",190
"4532",103344,"Ivan","Ljubicic","R",19790319,"CRO",193
"4800",103369,"Melle","Van Gemerden","R",19790509,"NED",183
"4803",103373,"Sergio","Roitman","R",19790516,"ARG",185
"4826",103387,"Paradorn","Srichaphan","R",19790614,"THA",185
"4892",103393,"Yuri","Schukin","R",19790626,"KAZ",188
"4905",103395,"Julio","Silva","R",19790701,"BRA",173
"4906",103401,"Jan","Hernych","R",19790707,"CZE",190
"4976",103403,"Takahiro","Terachi","R",19790708,"JPN",NA
"4977",103408,"Brian","Vahaly","R",19790719,"USA",183
"4979",103413,"Genius","Chidzikwe","R",19790803,"ZIM",NA
"4980",103420,"Michal","Tabara","R",19790811,"CZE",175
"4984",103424,"Tobias","Clemens","R",19790814,"GER",185
"4986",103427,"Yew Ming","Si","U",19790824,"MAS",NA
"4990",103428,"Juan Ignacio","Chela","R",19790830,"ARG",190
"5176",103429,"Peter","Luczak","R",19790831,"AUS",183
"5210",103435,"Massimo","Dellacqua","R",19790906,"ITA",193
"5211",103444,"Jean Rene","Lisnard","R",19790925,"MON",173
"5235",103448,"Gabriel","Trujillo Soler","R",19790930,"ESP",NA
"5236",103451,"Bjorn","Phau","R",19791004,"GER",175
"5304",103454,"Nicolas","Massu","R",19791010,"CHI",183
"5400",103455,"Michal","Mertinak","R",19791011,"SVK",180
"5408",103468,"Harsh","Mankad","R",19791110,"IND",173
"5411",103470,"Robert","Kendrick","R",19791115,"USA",190
"5436",103472,"Karim","Maamoun","R",19791118,"EGY",NA
"5441",103484,"James","Blake","R",19791228,"USA",185
"5714",103487,"Federico","Luzzi","R",19800103,"ITA",188
"5720",103490,"Santiago","Ventura","R",19800105,"ESP",183
"5750",103498,"Marat","Safin","R",19800127,"RUS",193
"5880",103499,"Aqeel","Khan","R",19800130,"PAK",NA
"5905",103503,"Robin","Vik","R",19800205,"CZE",183
"5925",103504,"Febi","Widhiyanto","R",19800209,"INA",NA
"5927",103505,"Vasilis","Mazarakis","R",19800209,"GRE",178
"5929",103506,"Martin","Vassallo Arguello","R",19800210,"ARG",183
"5973",103507,"Juan Carlos","Ferrero","R",19800212,"ESP",183
"6195",103510,"Rob","Steckley","R",19800216,"CAN",NA
"6196",103514,"Young Jun","Kim","R",19800223,"KOR",NA
"6198",103516,"Nathan","Healey","R",19800227,"AUS",180
"6204",103521,"Andrea","Stoppini","R",19800229,"ITA",190
"6207",103523,"Rohan","Bopanna","R",19800304,"IND",193
"6220",103525,"Ivan","Miranda","R",19800308,"PER",175
"6229",103529,"Aisam Ul Haq","Qureshi","R",19800317,"PAK",183
"6257",103530,"Zack","Fleishman","R",19800317,"USA",188
"6262",103531,"Thomas","Oger","U",19800322,"MON",NA
"6266",103534,"Nicolas","Devilder","L",19800325,"FRA",173
"6289",103535,"Olivier","Patience","R",19800325,"FRA",180
"6303",103538,"James","Auckland","R",19800401,"GBR",NA
"6305",103543,"David","Marrero","R",19800408,"ESP",183
"6308",103544,"Andy","Ram","R",19800410,"ISR",180
"6310",103553,"Alun","Jones","R",19800426,"AUS",180
"6314",103559,"David","Sherwood","R",19800506,"GBR",193
"6315",103565,"Stephane","Robert","R",19800517,"FRA",185
"6352",103566,"Michael","Llodra","L",19800518,"FRA",190
"6494",103573,"Rik","De Voest","R",19800605,"RSA",180
"6519",103580,"Alexander","Peya","R",19800627,"AUT",183
"6533",103581,"Flavio","Saretta","R",19800628,"BRA",183
"6552",103582,"Michael","Berrer","L",19800701,"GER",193
"6640",103586,"Mariusz","Fyrstenberg","L",19800708,"POL",193
"6643",103590,"Michael","Quintero","R",19800711,"COL",NA
"6645",103592,"Jerome","Haehnel","R",19800714,"FRA",185
"6646",103594,"Oliver","Marach","R",19800716,"AUT",185
"6664",103598,"Xavier","Malisse","R",19800719,"BEL",185
"6820",103600,"Mohammad","Ghareeb","R",19800722,"KUW",NA
"6841",103602,"Fernando","Gonzalez","R",19800729,"CHI",183
"7078",103607,"Victor","Estrella","R",19800802,"DOM",173
"7150",103612,"Alexey","Kedryuk","R",19800808,"KAZ",193
"7163",103630,"Martijn","Van Haasteren","R",19800912,"AHO",NA
"7166",103632,"Luis","Horna","R",19800914,"PER",180
"7234",103638,"Jhonson","Garcia","R",19801001,"DOM",NA
"7244",103656,"Albert","Montanes","R",19801126,"ESP",175
"7451",103657,"Ivo","Klec","R",19801128,"SVK",183
"7453",103666,"Ilia","Kushev","R",19801213,"BUL",NA
"7455",103668,"Lazar","Magdincev","R",19801215,"MKD",NA
"7462",103672,"Ricardo","Mello","L",19801221,"BRA",175
"7504",103675,"Diego","Junqueira","L",19801228,"ARG",178
"7515",103676,"Michael","Yani","R",19801231,"USA",185
"7519",103682,"Kyu Tae","Im","R",19810106,"KOR",185
"7523",103690,"Marcin","Matkowski","R",19810115,"POL",188
"7525",103693,"Thierry","Ascione","R",19810117,"FRA",188
"7534",103694,"Olivier","Rochus","R",19810118,"BEL",168
"7691",103700,"Juan Pablo","Guzman","L",19810129,"ARG",178
"7696",103701,"Diego","Hartfield","R",19810131,"ARG",185
"7714",103702,"Stefano","Ianni","R",19810131,"ITA",NA
"7715",103708,"Jaroslav","Pospisil","R",19810209,"CZE",175
"7716",103709,"Kristian","Pless","R",19810209,"DEN",188
"7726",103714,"Andreas","Vinciguerra","L",19810219,"SWE",180
"7733",103716,"Uros","Vico","R",19810219,"ITA",188
"7735",103720,"Lleyton","Hewitt","R",19810224,"AUS",180
"7992",103722,"Florent","Serra","R",19810228,"FRA",180
"8113",103726,"Jean Christophe","Faurel","R",19810306,"FRA",175
"8115",103730,"Jonathan","Marray","R",19810310,"GBR",183
"8116",103735,"Lovro","Zovko","R",19810318,"CRO",190
"8119",103737,"Edgardo","Massa","R",19810322,"ARG",180
"8126",103739,"Jose","De Armas","R",19810325,"VEN",NA
"8131",103746,"Miguel","Gallardo Valles","R",19810408,"MEX",NA
"8140",103747,"Dominik","Meffert","R",19810409,"GER",198
"8145",103752,"Simon","Greul","R",19810413,"GER",185
"8189",103758,"Taylor","Dent","R",19810424,"USA",188
"8247",103761,"Tomas","Cakl","R",19810425,"CZE",178
"8249",103763,"Martin","Slanar","R",19810501,"AUT",NA
"8250",103770,"Kevin","Sorensen","R",19810510,"IRL",183
"8251",103781,"Jurgen","Melzer","L",19810522,"AUT",183
"8551",103786,"Nikolay","Davydenko","R",19810602,"RUS",178
"8951",103789,"Irakli","Labadze","L",19810609,"GEO",188
"8967",103794,"Benjamin","Becker","R",19810616,"GER",178
"9121",103803,"Ashkan","Shokoofi","U",19810709,"IRI",NA
"9123",103808,"Potito","Starace","R",19810714,"ITA",188
"9274",103812,"Victor","Hanescu","R",19810721,"ROU",198
"9436",103813,"Jarkko","Nieminen","L",19810723,"FIN",185
"9749",103817,"Yu Jr","Wang","L",19810801,"CHN",NA
"9753",103819,"Roger","Federer","R",19810808,"SUI",185
"10705",103820,"Alan","Mackin","R",19810811,"GBR",183
"10706",103821,"Danai","Udomchoke","R",19810811,"THA",173
"10745",103823,"Denis","Gremelmayr","L",19810816,"GER",183
"10777",103824,"Orest","Tereshchuk","R",19810818,"UKR",NA
"10780",103826,"Carlos","Palencia","R",19810822,"MEX",NA
"10782",103828,"Jean Julien","Rojer","R",19810825,"NED",185
"10789",103829,"Cristian","Paiz","U",19810828,"GUA",NA
"10791",103830,"Shao Xuan","Zeng","R",19810829,"CHN",185
"10794",103835,"Filippo","Volandri","R",19810905,"ITA",183
"10920",103843,"Marco","Chiudinelli","R",19810910,"SUI",185
"10968",103849,"Francesco","Aldi","R",19810917,"ITA",175
"10969",103850,"Sebastian","Decoud","L",19810918,"ARG",178
"10973",103851,"Conor","Niland","R",19810919,"IRL",185
"10983",103852,"Feliciano","Lopez","L",19810920,"ESP",188
"11408",103857,"Igor","Kunitsyn","R",19810930,"RUS",180
"11495",103860,"Timo","Nieminen","R",19811006,"FIN",185
"11497",103863,"Mikhail","Elgin","R",19811014,"RUS",183
"11500",103864,"Mohamed","Mamoun","R",19811015,"EGY",NA
"11501",103865,"Prima","Simpatiaji","R",19811016,"INA",NA
"11508",103868,"Ivan","Navarro","R",19811019,"ESP",183
"11543",103872,"Dimitar","Grabuloski","U",19811105,"MKD",NA
"11545",103875,"Anoosha","Shahgholi","U",19811110,"IRI",NA
"11547",103882,"Adrians","Zguns","R",19811201,"LAT",NA
"11548",103888,"Mardy","Fish","R",19811209,"USA",188
"11764",103891,"Alexandros","Jakupovic","R",19811214,"GRE",NA
"11769",103893,"Paolo","Lorenzi","R",19811215,"ITA",183
"11879",103894,"Phillip","King","R",19811219,"USA",175
"11882",103898,"Julien","Benneteau","R",19811220,"FRA",185
"12137",103899,"Stian","Boretti","R",19811220,"NOR",188
"12141",103900,"David","Nalbandian","R",19820101,"ARG",180
"12395",103902,"Jan","Mertl","R",19820103,"CZE",190
"12397",103905,"Ricardo","Chile Fonte","U",19820107,"CUB",NA
"12398",103908,"Paul Henri","Mathieu","R",19820112,"FRA",185
"12623",103909,"Guillermo","Coria","R",19820113,"ARG",175
"12691",103917,"Nicolas","Mahut","R",19820121,"FRA",191
"12865",103920,"Sanchai","Ratiwatana","R",19820123,"THA",175
"12866",103921,"Sonchat","Ratiwatana","R",19820123,"THA",175
"12867",103926,"Daniel","Munoz de la Nava","L",19820129,"ESP",178
"12876",103936,"Todor","Enev","R",19820208,"BUL",NA
"12882",103946,"Bruno","Soares","R",19820227,"BRA",180
"12884",103967,"Michael","Lammer","R",19820325,"SUI",185
"12891",103970,"David","Ferrer","R",19820402,"ESP",175
"13572",103971,"Karol","Beck","R",19820403,"SVK",180
"13603",103976,"Juan Pablo","Brzezicki","R",19820412,"ARG",178
"13609",103978,"Rabie","Chaki","A",19820414,"MAR",NA
"13614",103986,"Radoslav","Lukaev","R",19820424,"BUL",NA
"13616",103990,"Tommy","Robredo","R",19820501,"ESP",180
"13997",103997,"Lukasz","Kubot","R",19820516,"POL",191
"14089",103999,"Thiago","Alves","R",19820522,"BRA",178
"14096",104001,"Brian","Wilson","R",19820523,"USA",190
"14097",104003,"Victor","Crivoi","R",19820525,"ROU",185
"14113",104004,"Filip","Prpic","R",19820526,"SWE",173
"14115",104007,"Andre","Ghem","R",19820529,"BRA",193
"14117",104008,"Carlos","Avellan","R",19820531,"ECU",NA
"14123",104010,"Dieter","Kindlmann","R",19820603,"GER",183
"14124",104019,"Kristof","Vliegen","R",19820622,"BEL",193
"14198",104022,"Mikhail","Youzhny","R",19820625,"RUS",183
"14569",104023,"Nicolas","Renavand","R",19820625,"FRA",NA
"14570",104025,"Amer","Delic","R",19820630,"BIH",196
"14600",104026,"Joachim","Johansson","R",19820701,"SWE",198
"14634",104027,"Pablo","Gonzalez","R",19820702,"COL",178
"14637",104035,"Bobby","Reynolds","R",19820717,"USA",183
"14665",104036,"Simon","Rea","L",19820718,"NZL",NA
"14666",104040,"Adam","Thompson","R",19820728,"NZL",NA
"14669",104043,"Marc","Lopez","R",19820731,"ESP",175
"14674",104046,"Bostjan","Osabnik","R",19820807,"SLO",NA
"14676",104051,"Andrej","Kracman","R",19820822,"SLO",NA
"14677",104053,"Andy","Roddick","R",19820830,"USA",188
"15043",104056,"Roko","Karanusic","R",19820905,"CRO",183
"15057",104059,"Rasmus","Norby","R",19820910,"DEN",183
"15058",104063,"Mait","Kunnap","R",19820923,"EST",NA
"15060",104067,"Goran","Tosic","R",19821007,"MNE",NA
"15061",104068,"Robby","Ginepri","R",19821007,"USA",183
"15188",104070,"Jesse","Witten","R",19821015,"USA",178
"15190",104071,"Raven","Klaasen","R",19821016,"RSA",178
"15197",104076,"Jose","Acasuso","R",19821020,"ARG",190
"15330",104081,"Boris","Pashanski","R",19821103,"SRB",180
"15354",104086,"Mikhail","Filima","U",19821117,"UKR",NA
"15356",104091,"Miguel Angel","Lopez Jaen","R",19821129,"ESP",188
"15357",104095,"David","Guez","R",19821208,"FRA",185
"15359",104098,"Dmitry","Tursunov","R",19821212,"RUS",185
"15576",104112,"Benjamin","Balleret","R",19830115,"MON",185
"15605",104113,"Carlos","Salamanca","L",19830115,"COL",196
"15608",104117,"Giovanni","Lapentti","R",19830125,"ECU",193
"15620",104121,"Tobias","Summerer","R",19830201,"GER",185
"15621",104122,"Carlos","Berlocq","R",19830203,"ARG",183
"15757",104136,"Santiago","Gonzalez","R",19830224,"MEX",191
"15764",104138,"Henry","Adjei Darko","U",19830228,"GHA",NA
