"","player_id","name_first","name_last","hand","dob","ioc","height"
"15524",201424,"Shahar","Peer","R",19870501,"ISR",170
"15817",201425,"Lucie","Safarova","L",19870204,"CZE",177
"16184",201426,"Pauline","Parmentier","R",19860131,"FRA",175
"16311",201427,"Alize","Cornet","R",19900122,"FRA",173
"16697",201428,"Mathilde","Johansson","R",19850428,"FRA",173
"16741",201429,"Rika","Fujiwara","R",19810919,"JPN",155
"16755",201430,"Yulia","Fedossova","R",19880701,"FRA",NA
"16763",201431,"Aravane","Rezai","R",19870314,"FRA",165
"16874",201433,"Sarah","Borwell","R",19790820,"GBR",NA
"16876",201434,"Sabine","Klaschka","R",19800808,"GER",NA
"16877",201435,"Kateryna","Bondarenko","R",19860808,"UKR",175
"17025",201437,"Ivana","Lisjak","R",19870317,"CRO",180
"17032",201438,"Ekaterina","Bychkova","R",19850605,"RUS",171
"17065",201440,"Laura","Pous Tio","U",19841001,"ESP",173
"17106",201441,"Emma","Laine","L",19860326,"FIN",164
"17147",201442,"Yung Jan","Chan","R",19890817,"TPE",170
"17200",201443,"Alexa","Glatch","R",19890910,"USA",183
"17218",201444,"Su Wei","Hsieh","R",19860104,"TPE",169
"17380",201445,"Viktoria","Kutuzova","R",19880819,"UKR",170
"17398",201446,"Sybille","Bammer","L",19800427,"AUT",174
"17540",201447,"Vania","King","R",19890303,"USA",165
"17669",201448,"Galina","Voskoboeva","R",19841218,"KAZ",183
"17744",201450,"Tsvetana","Pironkova","R",19870913,"BUL",180
"17933",201451,"Kathrin","Woerle","R",19840218,"GER",175
"17935",201452,"Lourdes","Dominguez Lino","R",19810331,"ESP",163
"18059",201453,"Hana","Sromova","R",19780410,"CZE",168
"18072",201454,"Akgul","Amanmuradova","R",19840623,"UZB",190
"18152",201455,"Elena","Vesnina","R",19860801,"RUS",176
"18418",201456,"Olga","Savchuk","R",19870920,"UKR",175
"18455",201457,"Jarmila","Gajdosova","R",19870426,"AUS",174
"18563",201458,"Victoria","Azarenka","R",19890731,"BLR",180
"19152",201459,"Zi","Yan","R",19841112,"CHN",171
"19185",201460,"Meng","Yuan","U",19860509,"CHN",NA
"19202",201462,"Alberta","Brianti","R",19800405,"ITA",165
"19255",201463,"Anda","Perianu","R",19800407,"ROU",170
"19257",201464,"Nathalie","Vierin","U",19821015,"ITA",NA
"19266",201465,"Kirsten","Flipkens","R",19860110,"BEL",165
"19476",201466,"Kaia","Kanepi","R",19850610,"EST",181
"19757",201467,"Ivana","Abramovic","R",19830903,"CRO",175
"19759",201468,"Yaroslava","Shvedova","R",19870912,"KAZ",180
"19913",201469,"Melanie","South","R",19860503,"GBR",175
"19923",201470,"Kristina","Barrois","R",19810930,"GER",183
"19957",201471,"Naomi","Cavaday","L",19890424,"GBR",170
"19961",201472,"Romina","Oprandi","R",19860329,"SUI",172
"20018",201473,"Vasilisa","Bardina","R",19871130,"RUS",NA
"20029",201474,"Agnieszka","Radwanska","R",19890306,"POL",170
"20574",201475,"Ahsha","Rolle","R",19850321,"USA",172
"20583",201476,"Lauren","Albanese","R",19891001,"USA",NA
"20584",201477,"Stephanie","Dubois","R",19861031,"CAN",162
"20618",201478,"Varvara","Lepchenko","L",19860521,"USA",180
"20774",201479,"Olga","Puchkova","R",19870927,"RUS",180
"20817",201480,"Lioudmila","Skavronskaia","R",19800323,"RUS",NA
"20818",201481,"Tamira","Paszek","R",19901206,"AUT",165
"20927",201482,"Andreja","Klepac","R",19860313,"SLO",NA
"20948",201483,"Madison","Brengle","R",19900403,"USA",168
"21042",201484,"Sandra","Zahlavova","U",19851010,"CZE",NA
"21054",201485,"Alla","Kudryavtseva","R",19871103,"RUS",178
"21139",201486,"Aleksandra","Wozniak","R",19870907,"CAN",175
"21267",201487,"Jessica","Moore","R",19900816,"AUS",167
"21271",201488,"Jorgelina","Cravero","R",19820123,"ARG",163
"21278",201489,"Mariya","Koryttseva","R",19850525,"UKR",172
"21319",201490,"Timea","Bacsinszky","R",19890608,"SUI",170
"21501",201491,"Olivia","Sanchez","R",19821117,"FRA",172
"21506",201492,"Andrea","Petkovic","R",19870909,"GER",180
"21798",201493,"Angelique","Kerber","L",19880118,"GER",173
"22290",201494,"Raluca","Olaru","R",19890303,"ROU",173
"22330",201495,"Dominika","Cibulkova","R",19890506,"SVK",161
"22720",201496,"Caroline","Wozniacki","R",19900711,"DEN",177
"23355",201497,"Agnes","Szavay","R",19881229,"HUN",168
"23479",201498,"Karin","Knapp","R",19870628,"ITA",180
"23584",201499,"Anastasia","Pavlyuchenkova","R",19910703,"RUS",177
"24007",201500,"Nika","Ozegovic","R",19850521,"CRO",170
"24011",201501,"Olga","Govortsova","R",19880823,"BLR",182
"24151",201503,"Ayumi","Morita","R",19900311,"JPN",163
"24251",201504,"Julia","Goerges","R",19881102,"GER",180
"24570",201505,"Kate","Makarova","L",19880607,"RUS",178
"24828",201506,"Sara","Errani","R",19870429,"ITA",164
"25229",201507,"Audra","Cohen","R",19860421,"USA",175
"25230",201508,"Petra","Cetkovska","R",19850208,"CZE",172
"25303",201510,"Julie","Ditty","L",19790104,"USA",168
"25313",201511,"Ekaterina","Ivanova","R",19871218,"RUS",NA
"25323",201512,"Monica","Niculescu","R",19870925,"ROU",168
"25516",201513,"Sabine","Lisicki","R",19890922,"GER",178
"25732",201514,"Sorana","Cirstea","R",19900407,"ROU",176
"26056",201515,"Alisa","Kleybanova","R",19890715,"RUS",181
"26165",201516,"Evgeniya","Rodina","R",19890204,"RUS",170
"26239",201517,"Magdalena","Rybarikova","R",19881004,"SVK",180
