"player_id","name_first","name_last","hand","dob","ioc","height","Rating","Deviation","Volatility"
103204,"Hugo","Armando","R",19780527,"USA",183,1673.49007749515,121.675652039776,0.0600182987959549
103205,"Emilio Daniel","Baez Britez","R",19780528,"PAR",NA,1495.91749797883,183.87281682763,0.0600027953231164
103206,"Sebastien","Grosjean","R",19780529,"FRA",175,1651.9044948937,96.0207357983104,0.0596597969287037
103226,"Walid","Jallali","R",19780630,"TUN",NA,1484.2696653537,193.205408218919,0.0599963243004089
103228,"Marcos","Daniel","R",19780704,"BRA",180,1555.77232295838,110.71854145192,0.0600068848610383
103229,"Kornel","Bardoczky","R",19780705,"HUN",NA,1507.13293778503,166.297931428649,0.0599901967688693
103238,"Jean Claude","Scherrer","R",19780720,"SUI",188,1469.620253809,214.675533906129,0.0599965763160333
103240,"Kevin","Kim","R",19780726,"USA",180,1615.82320484896,109.128818022606,0.0599527571704438
103248,"Harel","Levy","R",19780805,"ISR",185,1533.81782324341,126.532669741112,0.0599867242419962
103252,"Alberto","Martin","R",19780820,"ESP",175,1640.6920866509,90.7708703824222,0.0597764992692878
103254,"Yves","Allegro","R",19780824,"SUI",183,1605.08003924272,163.000357647396,0.0599904260685454
103264,"Mariano","Puerta","L",19780919,"ARG",180,1831.50687548245,60.482908211974,0.0600464475945887
103285,"Radek","Stepanek","R",19781127,"CZE",185,1846.23815522396,78.4593377799198,0.0597344404771809
103286,"Yohny","Romero","R",19781130,"VEN",NA,1488.07396557797,172.831561078128,0.0599944178186582
103292,"Gaston","Gaudio","R",19781209,"ARG",175,1587.48752275366,122.362891910169,0.0599427175192977
103294,"Christophe","Rochus","R",19781215,"BEL",170,1525.91477519411,91.9662209332817,0.0600394091682206
103296,"Ivaylo","Traykov","R",19781217,"BUL",188,1407.28819774731,163.336321435793,0.0599882197242437
103305,"Daniel","Elsner","R",19790104,"GER",183,1511.56879713956,132.048080294464,0.0600328766845612
103316,"Victor","Romero","R",19790126,"MEX",NA,1679.31829033713,273.862467568008,0.0599995654694805
103319,"Jeff","Morrison","R",19790204,"USA",185,1665.68248763991,96.6692305754358,0.0599784372499199
103325,"Wesley","Moodie","R",19790214,"RSA",196,1740.37167710702,83.1531516679578,0.0600700373590073
103333,"Ivo","Karlovic","R",19790228,"CRO",208,1635.8323530509,100.686429280621,0.0602850533994429
103339,"Wesley","Whitehouse","L",19790313,"RSA",190,1657.13809159966,138.457955606782,0.0600062639430758
103344,"Ivan","Ljubicic","R",19790319,"CRO",193,1819.94787592212,79.5202047212169,0.0600949399725696
103369,"Melle","Van Gemerden","R",19790509,"NED",183,1583.7980625716,131.096228494304,0.0599944473854148
103373,"Sergio","Roitman","R",19790516,"ARG",185,1542.83518413275,100.490647717038,0.0599512825962799
103387,"Paradorn","Srichaphan","R",19790614,"THA",185,1757.99885333011,66.7335572597028,0.0600842328373114
103393,"Yuri","Schukin","R",19790626,"KAZ",188,1727.5233711108,121.383325502135,0.0600046455644986
103395,"Julio","Silva","R",19790701,"BRA",173,1455.55102579402,193.092790621774,0.0599895883772145
103401,"Jan","Hernych","R",19790707,"CZE",190,1740.03264354296,131.94350983258,0.0598882936360664
103403,"Takahiro","Terachi","R",19790708,"JPN",NA,1485.55983377252,173.414476771902,0.0599948672895895
103408,"Brian","Vahaly","R",19790719,"USA",183,1579.73630938408,118.892240964093,0.0599696067104321
103413,"Genius","Chidzikwe","R",19790803,"ZIM",NA,1197.82358108903,146.279412245258,0.0599898113618365
103420,"Michal","Tabara","R",19790811,"CZE",175,1632.71526268837,140.144973028396,0.0599522039897596
103424,"Tobias","Clemens","R",19790814,"GER",185,1730.10145069618,187.228492605987,0.0600023164854844
103427,"Yew Ming","Si","U",19790824,"MAS",NA,1374.17383424029,166.449815854804,0.0599942338998044
103428,"Juan Ignacio","Chela","R",19790830,"ARG",190,1686.81372875125,80.1905829831915,0.0599456235148291
103429,"Peter","Luczak","R",19790831,"AUS",183,1590.5577367502,107.767962533249,0.0599446052155968
103435,"Massimo","Dellacqua","R",19790906,"ITA",193,1685.53271783796,262.861487643034,0.0600032892095036
103444,"Jean Rene","Lisnard","R",19790925,"MON",173,1528.83816144271,129.171281398246,0.0598758350476823
103448,"Gabriel","Trujillo Soler","R",19790930,"ESP",NA,1643.59039200256,242.836506258543,0.0599987903842149
103451,"Bjorn","Phau","R",19791004,"GER",175,1708.25138634944,103.240666467462,0.0599511292292362
103454,"Nicolas","Massu","R",19791010,"CHI",183,1533.65863268511,143.980702564127,0.0598968118780558
103455,"Michal","Mertinak","R",19791011,"SVK",180,1658.46657899273,138.690193562193,0.0600070832410483
103468,"Harsh","Mankad","R",19791110,"IND",173,1539.25512206187,142.429979934655,0.0600052433958033
103470,"Robert","Kendrick","R",19791115,"USA",190,1586.39899491737,114.703066196559,0.0599768049820716
103472,"Karim","Maamoun","R",19791118,"EGY",NA,1382.91295800581,152.29204726252,0.0600182636603768
103484,"James","Blake","R",19791228,"USA",185,1733.76430094426,72.6721712006883,0.0599840820262649
103487,"Federico","Luzzi","R",19800103,"ITA",188,1642.73484041855,119.21502610616,0.0599622473247307
103490,"Santiago","Ventura","R",19800105,"ESP",183,1552.67781338925,98.6842841030311,0.0599619356472646
